country,country_code,ease_doing_business_resid
Tanzania,TZA,1.6944595228024752
Uganda,UGA,-20.317450757614296
Ukraine,UKR,-43.14560007166419
Uruguay,URY,23.625751686308277
United States,USA,-24.26153355868918
Uzbekistan,UZB,-47.691638814511734
St. Vincent and the Grenadines,VCT,29.52000426536297
Vietnam,VNM,-55.5024762277061
Vanuatu,VUT,-46.41082970938862
Samoa,WSM,-34.47517228154149
Kosovo,XKX,-61.49905355560986
"Yemen, Rep.",YEM,48.10133528874769
South Africa,ZAF,-12.690456985361351
Zambia,ZMB,-48.55137305155742
Zimbabwe,ZWE,10.918339027663222
