,country_code,country,country_code,happiness,
136,POL,Poland,Poland,6.0070219,
137,PRK,Dem. People's Rep. of Korea,NA,NA,
138,PRY,Paraguay,Paraguay,5.5597243,
139,QAT,Qatar,Qatar,6.3745294,
140,ROU,Romania,Romania,5.7774911,
141,RUS,Russian Federation,Russian Federation,5.9955387,
142,RWA,Rwanda,Rwanda,3.483109,
143,SAU,Saudi Arabia,Saudi Arabia,6.3454919,
144,SDN,Sudan,NA,NA,
145,SEN,Senegal,Senegal,4.6170006,
146,SGP,Singapore,Singapore,6.619525,
147,SLB,Solomon Islands,NA,NA,
148,SLE,Sierra Leone,Sierra Leone,4.908618,
149,SLV,El Salvador,El Salvador,6.018496,
150,SOM,Somalia,Somalia,5.3536448,
151,SRB,Serbia and Kosovo (S/RES/1244 (1999)),Serbia and Kosovo (S/RES/1244 (1999)),5.3176851,
152,SSD,South Sudan,South Sudan,4.0707712,
153,SUR,Suriname,NA,NA,
154,SVK,Slovakia,Slovakia,6.1620045,
155,SVN,Slovenia,Slovenia,5.7406421,
156,SWE,Sweden,Sweden,7.2889223,
157,SWZ,Swaziland,NA,NA,
158,SXM,Sint Maarten (Dutch part),NA,NA,
159,SYR,Syrian Arab Rep.,Syrian Arab Rep.,3.4619129,
160,TCA,Turks and Caicos Islands,NA,NA,
161,TCD,Chad,Chad,4.3226752,
162,TGO,Togo,Togo,3.768302,
163,THA,Thailand,Thailand,6.2017627,
164,TJK,Tajikistan,Tajikistan,5.1242108,
165,TKM,Turkmenistan,Turkmenistan,5.79146,
166,TMP,Timor-Leste,NA,NA,
167,TTO,Trinidad and Tobago,NA,NA,
168,TUN,Tunisia,Tunisia,5.1316118,
169,TUR,Turkey,Turkey,5.5144653,
170,TZA,United Rep. of Tanzania,United Rep. of Tanzania,3.6605973,
171,UAE,United Arab Emirates,NA,NA,
172,UGA,Uganda,Uganda,4.2376866,
173,UKR,Ukraine,Ukraine,3.9645429,
174,URY,Uruguay,Uruguay,6.6280804,
175,USA,United States of America,United States of America,6.8639469,
176,UZB,Uzbekistan,Uzbekistan,5.9723644,
177,VEN,Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),5.5688004,
178,VNM,Viet Nam,Viet Nam,5.0763154,
179,VUT,Vanuatu,NA,NA,
180,WSM,Samoa,NA,NA,
181,YEM,Yemen,Yemen,2.9826739,
182,ZAF,South Africa,South Africa,4.8873258,
183,ZMB,Zambia,Zambia,4.8431644,
184,ZWE,Zimbabwe,Zimbabwe,3.7031913,
