country,country_code,fertility_rate_resid
Other small states,OSS,1.2841230072144816
Pakistan,PAK,-0.21972286529753315
Panama,PAN,0.6262527344012281
Peru,PER,0.08997734446646266
Philippines,PHL,-0.2693667435380642
Palau,PLW,0.0409600586851413
Papua New Guinea,PNG,-0.28644512797040056
Poland,POL,-0.5095874289100482
Pre-demographic dividend,PRE,1.1787711749007066
Puerto Rico,PRI,-0.4150516377739335
Portugal,PRT,-0.49819804789380484
Paraguay,PRY,0.1041152819082396
West Bank and Gaza,PSE,0.30980094088357557
Pacific island small states,PSS,-0.3798473835120948
Post-demographic dividend,PST,-0.09053418447822081
Qatar,QAT,0.3518764567028858
Romania,ROU,-0.35048047966449647
Russian Federation,RUS,-0.1079380207380436
Rwanda,RWA,-0.5824426979386774
South Asia,SAS,-1.1174530088599726
Saudi Arabia,SAU,0.8644932842310307
Sudan,SDN,0.7217473212397008
Senegal,SEN,0.6096127231717006
Singapore,SGP,-0.3967721823611665
Solomon Islands,SLB,-0.530121789816584
Sierra Leone,SLE,-0.10336791533216605
El Salvador,SLV,-1.0907906333349247
Serbia,SRB,-0.7680152140671974
Sub-Saharan Africa (excluding high income),SSA,0.8476005241487972
South Sudan,SSD,0.4267812947024048
Sub-Saharan Africa,SSF,0.847861292560995
Small states,SST,1.0152649318189786
Sao Tome and Principe,STP,0.29439175683813623
Suriname,SUR,0.2455010789991774
Slovak Republic,SVK,-0.40826248269651644
Slovenia,SVN,-0.2230216491540502
Sweden,SWE,0.12850920869733895
Eswatini,SWZ,0.13130273337630927
Seychelles,SYC,0.5793584616312648
Chad,TCD,1.5907031441428332
East Asia & Pacific (IDA & IBRD countries),TEA,-0.4490233702423283
Europe & Central Asia (IDA & IBRD countries),TEC,-0.09518268965128618
Togo,TGO,-0.11051373942238829
Thailand,THA,-0.62551097824009
Tajikistan,TJK,-0.9012457920529462
Turkmenistan,TKM,0.7956431633037715
Latin America & the Caribbean (IDA & IBRD countries),TLA,-0.06869137656153823
Timor-Leste,TLS,2.5193154774755686
Middle East & North Africa (IDA & IBRD countries),TMN,0.4995040663089352
Tonga,TON,0.03318967250221183
South Asia (IDA & IBRD),TSA,-1.1174530088599726
Sub-Saharan Africa (IDA & IBRD countries),TSS,0.847861292560995
Trinidad and Tobago,TTO,-0.01312246951593532
Tunisia,TUN,-0.22520780658479023
Turkey,TUR,0.2163328238430775
Tanzania,TZA,0.7337375212087558
Uganda,UGA,1.1138240771421097
Ukraine,UKR,-1.5763462985651133
Upper middle income,UMC,-0.30146584774513063
Uruguay,URY,0.06034049347162984
United States,USA,0.13367515310092504
Uzbekistan,UZB,-1.0261489297301205
St. Vincent and the Grenadines,VCT,-0.5393805657563389
Vietnam,VNM,-1.5953813249011197
Vanuatu,VUT,-0.9489731355122157
World,WLD,0.3059880134883213
Samoa,WSM,0.4768379414836543
Kosovo,XKX,-0.5881885079217408
"Yemen, Rep.",YEM,-0.08970686420091045
South Africa,ZAF,0.195856387858238
Zambia,ZMB,0.9961527329662756
Zimbabwe,ZWE,-0.5882729551144643
