country,country_code,urbpop_resid
Panama,PAN,0.5931420863749963
Peru,PER,18.94147966540089
Philippines,PHL,-0.28648261004369857
Palau,PLW,16.12294607965233
Papua New Guinea,PNG,-25.490990691248214
Poland,POL,-9.434213821984464
Pre-demographic dividend,PRE,1.7937600857823668
Puerto Rico,PRI,15.952274298608714
Portugal,PRT,-8.619644951320062
Paraguay,PRY,3.6107773403483634
West Bank and Gaza,PSE,34.50863210703653
Pacific island small states,PSS,-4.010596061599969
Post-demographic dividend,PST,-0.09615946953115895
Qatar,QAT,-3.300604963343318
Romania,ROU,-11.8160086774827
Russian Federation,RUS,5.83847207606162
Rwanda,RWA,-15.936216742404365
South Asia,SAS,-9.785568547066319
Saudi Arabia,SAU,-1.7061358654376733
Sudan,SDN,-5.8440429551634665
Senegal,SEN,9.757044309060454
Singapore,SGP,7.037305182020589
Solomon Islands,SLB,-11.686740489807583
Sierra Leone,SLE,9.01264268634969
El Salvador,SLV,22.746693704886937
San Marino,SMR,9.761035035680706
Serbia,SRB,-5.053072380947107
Sub-Saharan Africa (excluding high income),SSA,0.7895627987290794
South Sudan,SSD,-14.4638659748823
Sub-Saharan Africa,SSF,0.7858738182233438
Small states,SST,-9.112077423937741
Sao Tome and Principe,STP,34.001056392781216
Suriname,SUR,3.6455451320722005
Slovak Republic,SVK,-18.23667879325476
Slovenia,SVN,-19.780718111183738
Sweden,SWE,3.985564597535543
Eswatini,SWZ,-25.60536888098753
Sint Maarten (Dutch part),SXM,24.034345597009292
Seychelles,SYC,-14.219556503957072
Chad,TCD,-11.312638420170764
East Asia & Pacific (IDA & IBRD countries),TEA,-6.780660130103385
Europe & Central Asia (IDA & IBRD countries),TEC,1.1367807442645415
Togo,TGO,7.924146999085778
Thailand,THA,-15.21347196848167
Tajikistan,TJK,-8.614359155274254
Turkmenistan,TKM,-12.401550106395618
Latin America & the Caribbean (IDA & IBRD countries),TLA,17.774455678918287
Timor-Leste,TLS,-18.4642720420071
Middle East & North Africa (IDA & IBRD countries),TMN,2.0920688048577816
Tonga,TON,-18.8455169116384
South Asia (IDA & IBRD),TSA,-9.785568547066319
Sub-Saharan Africa (IDA & IBRD countries),TSS,0.7858738182233438
Trinidad and Tobago,TTO,-21.70838325261363
Tunisia,TUN,11.746297769613221
Turkey,TUR,5.308200473796603
Tuvalu,TUV,22.303538498579606
Tanzania,TZA,-3.3407565389242784
Uganda,UGA,-10.696454627218554
Ukraine,UKR,20.93150667198627
Upper middle income,UMC,1.0121490393038997
Uruguay,URY,29.694115765400795
United States,USA,-4.132851076209647
Uzbekistan,UZB,7.279945629536051
St. Vincent and the Grenadines,VCT,-4.625437820156286
Vietnam,VNM,-9.276850304080618
Vanuatu,VUT,-10.83761869744685
World,WLD,-8.575856204045067
Samoa,WSM,-24.184764490815503
"Yemen, Rep.",YEM,-1.6962358573925869
South Africa,ZAF,5.330047656100454
Zambia,ZMB,3.928264235076554
Zimbabwe,ZWE,-1.7888394388599167
