"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Bosnia and Herzegovina","BIH","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.9593299999999","","","","","","","","","94.35994","","","","","","","","","","","96.80371","","94.91049","","","","","",
"Belarus","BLR","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.62822","","","","","","","","","","99.41972","","","","","","","","","","99.49399","","","","","","","","","",
"Belize","BLZ","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.32839","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","51.37465","","","","","","","","","","","","","","","","72.31322","","","","","","","","","80.65438","","","","","","85.98594","86.83175","86.82146","","88.0802","91.87327","","","88.58286","","","",
"Brazil","BRA","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","72.85315","","","","","","","","","","","","","","","","","","","","86.50005","","","","88.80613","","89.85559","90.22801","90.21955","90.41122","90.6817","91.63315","91.6249","91.76496","92.06052","92.34379","","","",
"Barbados","BRB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","99.25156","","","","","","","","","","","","","","99.5999999999999","","","","","","","","","","99.5999999999999","","","","","","","","","","99.5999999999999","","","","","","","","","","99.5999999999999","","","","",
"Brunei Darussalam","BRN","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","68.84183","","","","","","","","","","82.46136","","","","","","","","","","90.16155","","","","","","","","","","94.65248","","","","","","","",
"Bhutan","BTN","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.68066","","","","","","","48.01656","","","","","","",
"Botswana","BWA","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.29924","","","","","","","","","","","","81.80795","","","","","","","","","","","88.7","","","","",
"Central African Republic","CAF","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","8.39958","","","","","","","","","","","","","20.33688","","","","","","","","","","","","35.2909","","","","","","","","","","24.35549","","","","","","","","",
"Canada","CAN","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","97.04938","97.07842","97.10569","97.15069","97.18892","97.22309","97.27181","97.39297","97.49143","97.59431","97.67245","97.75027","97.81553","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","90.80012","","","","","","","","","","94.03671","","","","","","","","","","95.64093","","","","","","98.69557","98.49128","","96.53071","","96.16175","","96.74396","","","",
"China","CHN","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","51.13681","","","","","","","","68.07208","","","","","","","","","","86.5266","","","","","","","","","","92.71123","","","","","","","","",
"Cote d'Ivoire","CIV","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.43378","","","","","","","","","","28.47667","","38.61451","","","","","","","","","","","","30.46172","","36.78425","","","","",
"Cameroon","CMR","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","29.11613","","","","","","","","","","","","","","","","","","","","","","","","58.72176","","","","","","","63.02206","","","64.7995","","","","","","","","",
"Congo, Dem. Rep.","COD","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.0609","","","","","","46.10425","","","","","62.91864","","","","66.4999799999999","","",
"Congo, Rep.","COG","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.87706","","","","","","","",
"Colombia","COL","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.1479","","","91.3139999999999","","","","","","","","92.71463","92.91125","92.2206","92.84562","93.43537","93.41513","93.48679","93.66713","","","94.48466","94.41582","94.89022","","",
"Comoros","COM","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","40.31762","","","","","","","","","","","","","","","","","","","","63.45902","","","","","","","","","","","","42.63729","","","","","","",
"Cabo Verde","CPV","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.99862","","","","","","","","","","","","","","81.4599999999999","","","","","","","","80.4962199999999","","","82.04222","","","",
"Costa Rica","CRI","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","92.57713","","","","","","","","","","","","","","","","95.0807899999999","","","","","","","","","","","97.50041","","","","","","","",
"Caribbean small states","CSS","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.94199","88.99513","89.26807","89.50966","89.75164","89.99358","89.8081","90.49836","90.73527","90.94824","91.15308","91.36983","91.55682","91.73966","92.32842","92.52599","92.69078","","","","","","","","","",
"Cuba","CUB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.79092","","","","","","","","","","99.79988","","","","","","",
"Curacao","CUW","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.02148","","","","","","","","","","","",
"Cyprus","CYP","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.00178","","","","","","","","","95.07966","","","","","","","","","","98.11623","","","","","","","",
"Czech Republic","CZE","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","72.53608","","","","","","","","","","","","","","","","","","","","","87.17709","","","","","88.27717","","","89.6973","90.22557","90.22417","91.25051","92.14779","92.32106","93.7641299999999","","",
"Algeria","DZA","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.83992","","","","","","","","","","","","","","","60.07508","","","","63.91879","","67.54875","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","50.35375","50.57386","52.0046","53.53424","54.27177","56.42626","57.37455","59.30797","60.70821","62.04794","63.25169","64.76122","70.58862","71.57599","71.50912","73.19297","73.9048","74.5972","75.3425","76.08064","76.81331","84.89261","85.41986","85.89455","86.47574","86.93898","87.47122","88.02421","88.73942","89.23141","89.8197","91.38324","91.74336","92.21445","92.36172","92.24384","92.55235","92.67822","93.20382","93.36969","93.5664","","",
