country,country_code,adolescent_fertility_rate_resid
Pre-demographic dividend,PRE,32.11668979900392
Puerto Rico,PRI,23.028033991646076
Portugal,PRT,-12.629284513355177
Paraguay,PRY,13.222577313316705
West Bank and Gaza,PSE,-14.643911939405868
Pacific island small states,PSS,-30.549141423991095
Post-demographic dividend,PST,1.0142453109547294
Qatar,QAT,7.946865033186256
Romania,ROU,3.2070635785572428
Russian Federation,RUS,-4.054255248648964
Rwanda,RWA,-62.1594798106916
South Asia,SAS,-34.18653054365833
Saudi Arabia,SAU,-1.137683636040153
Sudan,SDN,-4.695192088879878
Senegal,SEN,-5.911990765403274
Singapore,SGP,-2.4769438993082518
Solomon Islands,SLB,-38.23634325586003
Sierra Leone,SLE,25.800063292593165
El Salvador,SLV,11.043951713875401
Serbia,SRB,-21.576199524253397
Sub-Saharan Africa (excluding high income),SSA,24.07696762117064
South Sudan,SSD,-20.698256241480138
Sub-Saharan Africa,SSF,24.085986301982814
Small states,SST,29.15475214094321
Sao Tome and Principe,STP,14.858904726175837
Suriname,SUR,7.693637500875894
Slovak Republic,SVK,-0.7842155666320956
Slovenia,SVN,-16.845596406981223
Sweden,SWE,-6.348511919919165
Eswatini,SWZ,23.997596573243804
Seychelles,SYC,32.885141715273576
Chad,TCD,79.93532232554973
East Asia & Pacific (IDA & IBRD countries),TEA,-19.457344557029025
Europe & Central Asia (IDA & IBRD countries),TEC,-8.30620429299411
Togo,TGO,-1.5697191197499762
Thailand,THA,12.861413902322205
Tajikistan,TJK,-47.193993797825705
Turkmenistan,TKM,-13.970769373478579
Latin America & the Caribbean (IDA & IBRD countries),TLA,23.83038765233207
Timor-Leste,TLS,-10.737948705191137
Middle East & North Africa (IDA & IBRD countries),TMN,-1.5119031981396205
Tonga,TON,-54.60921216500945
South Asia (IDA & IBRD),TSA,-34.18653054365833
Sub-Saharan Africa (IDA & IBRD countries),TSS,24.085986301982814
Trinidad and Tobago,TTO,12.449240587920418
Tunisia,TUN,-37.497081388950164
Turkey,TUR,0.5605214328250518
Tanzania,TZA,32.630004067791376
Uganda,UGA,24.151637608288326
Ukraine,UKR,-32.16745744641275
Upper middle income,UMC,-9.327260187843311
Uruguay,URY,24.13081740076532
United States,USA,13.129300708798146
Uzbekistan,UZB,-50.299609366079295
St. Vincent and the Grenadines,VCT,5.2424680302402535
Vietnam,VNM,-37.229048481212416
Vanuatu,VUT,-40.56361431870093
World,WLD,5.645182270679335
Samoa,WSM,-42.364247295126304
"Yemen, Rep.",YEM,-18.874990148133023
South Africa,ZAF,3.7543141639620288
Zambia,ZMB,10.251072783395117
Zimbabwe,ZWE,20.320919325621333
