country,country_code,population_resid
Panama,PAN,-14626452.04275671
Peru,PER,14635530.170665633
Philippines,PHL,85620942.09832327
Palau,PLW,-17871711.3280404
Papua New Guinea,PNG,-9385910.750700343
Poland,POL,18308613.922127314
Pre-demographic dividend,PRE,837212659.1081449
Puerto Rico,PRI,-17026153.155254822
Portugal,PRT,-10462293.413911454
Paraguay,PRY,-9831511.687961446
West Bank and Gaza,PSE,-12503441.035665486
Pacific island small states,PSS,-14332988.648414643
Post-demographic dividend,PST,1079116170.9250324
Qatar,QAT,7760799.118015461
Romania,ROU,1106528.178492751
Russian Federation,RUS,125217127.50946033
Rwanda,RWA,-6585766.564318981
South Asia,SAS,1727531008.6602676
Saudi Arabia,SAU,16531253.42717354
Sudan,SDN,21542428.424280703
Senegal,SEN,-2720444.9271355644
Singapore,SGP,303584.496299617
Solomon Islands,SLB,-17446756.92654855
Sierra Leone,SLE,-11162542.541618697
El Salvador,SLV,-9736102.87489992
San Marino,SMR,-12915538.067892952
Serbia,SRB,-10001085.51133044
Sub-Saharan Africa (excluding high income),SSA,988321147.215008
South Sudan,SSD,-6271697.396749511
Sub-Saharan Africa,SSF,988415424.8250865
Small states,SST,20360688.499144506
Sao Tome and Principe,STP,-17490762.314163417
Suriname,SUR,-17764118.73778402
Slovak Republic,SVK,-15394373.934766006
Slovenia,SVN,-19046193.07177234
Sweden,SWE,-7351404.185642745
Eswatini,SWZ,-14513971.549272915
Sint Maarten (Dutch part),SXM,-20990799.33969634
Seychelles,SYC,-19526347.095592063
Chad,TCD,-4060677.891620744
East Asia & Pacific (IDA & IBRD countries),TEA,1996237259.1362157
Europe & Central Asia (IDA & IBRD countries),TEC,433743020.7238254
Togo,TGO,-10923767.821656294
Thailand,THA,49783902.80384676
Tajikistan,TJK,-9271282.822141513
Turkmenistan,TKM,-13072724.489426926
Latin America & the Caribbean (IDA & IBRD countries),TLA,596893773.1399521
Timor-Leste,TLS,-14692232.653107617
Middle East & North Africa (IDA & IBRD countries),TMN,346329163.6315621
Tonga,TON,-16620905.457683118
South Asia (IDA & IBRD),TSA,1727531008.6602676
Sub-Saharan Africa (IDA & IBRD countries),TSS,988415424.8250865
Trinidad and Tobago,TTO,-19767873.16554892
Tunisia,TUN,-5051800.846183863
Turkey,TUR,59347002.92536174
Tuvalu,TUV,-17470371.02843056
Tanzania,TZA,35994797.81717471
Uganda,UGA,21899459.584826298
Ukraine,UKR,29239955.956097648
Upper middle income,UMC,2518789796.5410905
Uruguay,URY,-15413454.894295637
United States,USA,306843271.10110337
Uzbekistan,UZB,14776863.34530028
St. Vincent and the Grenadines,VCT,-16063763.906646613
Vietnam,VNM,76992023.92840669
Vanuatu,VUT,-17482960.701014817
World,WLD,7339117632.835558
Samoa,WSM,-16383837.994364489
Kosovo,XKX,-13760996.277648615
"Yemen, Rep.",YEM,9279016.369538438
South Africa,ZAF,38379441.095736116
Zambia,ZMB,-1290616.2819791436
Zimbabwe,ZWE,-2235989.7895578668
