country,country_code,pm25_pct_population_resid
Philippines,PHL,0.05908488280073243
Papua New Guinea,PNG,0.021201242772235673
Poland,POL,0.746004856016711
Pre-demographic dividend,PRE,0.014949052054404888
Puerto Rico,PRI,2.8691611683767064
Portugal,PRT,-38.36454002846599
Paraguay,PRY,0.08246328121302327
West Bank and Gaza,PSE,0.032652855378032086
Pacific island small states,PSS,-92.1793605832805
Post-demographic dividend,PST,-22.137525948506763
Qatar,QAT,22.08413305940087
Romania,ROU,0.2690388711818201
Russian Federation,RUS,-7.740527517303633
Rwanda,RWA,-0.005674475357110964
South Asia,SAS,0.03289787883973361
Saudi Arabia,SAU,6.215820586579355
Sudan,SDN,0.027217247047644832
Senegal,SEN,0.00952267880062152
Singapore,SGP,13.374314691979208
Solomon Islands,SLB,-100.00040184016086
Sierra Leone,SLE,-0.010978938785498826
El Salvador,SLV,0.060731356170492745
Serbia,SRB,0.09083021538403102
Sub-Saharan Africa (excluding high income),SSA,0.01262528972009136
South Sudan,SSD,-0.0038899088257409176
Sub-Saharan Africa,SSF,0.012651370336229206
Small states,SST,-10.549394434339789
Sao Tome and Principe,STP,0.009852641963831843
Suriname,SUR,0.1097586751250077
Slovak Republic,SVK,1.3474760771958643
Slovenia,SVN,1.7380092284605553
Sweden,SWE,-95.07384967285878
Eswatini,SWZ,0.0687936647248506
Seychelles,SYC,0.7246639217769228
Chad,TCD,-0.001449662145404318
East Asia & Pacific (IDA & IBRD countries),TEA,-0.05724161752317514
Europe & Central Asia (IDA & IBRD countries),TEC,-2.5054299576361245
Togo,TGO,-0.009287867882676437
Thailand,THA,0.12205621049825766
Tajikistan,TJK,0.0058974458216454195
Turkmenistan,TKM,0.11598067128204548
Latin America & the Caribbean (IDA & IBRD countries),TLA,-9.503020711670871
Timor-Leste,TLS,0.06493590307545105
Middle East & North Africa (IDA & IBRD countries),TMN,0.08476869332277204
Tonga,TON,-99.9612916347976
South Asia (IDA & IBRD),TSA,0.03289787883973361
Sub-Saharan Africa (IDA & IBRD countries),TSS,0.012651370336328682
Trinidad and Tobago,TTO,2.1195314873010034
Tunisia,TUN,0.08132231407653023
Turkey,TUR,0.46279102358958824
Tanzania,TZA,0.0039739080392422466
Uganda,UGA,-0.006545372748689715
Ukraine,UKR,0.06565657236676259
Upper middle income,UMC,-2.717166869931944
Uruguay,URY,0.2533920584476448
United States,USA,-49.45712368772896
Uzbekistan,UZB,0.04508452002893648
St. Vincent and the Grenadines,VCT,0.08086340478085674
Vietnam,VNM,0.0432826577420542
Vanuatu,VUT,-57.074031958981934
World,WLD,-4.85654597982095
Samoa,WSM,-99.9566565884707
"Yemen, Rep.",YEM,0.011311252194815324
South Africa,ZAF,0.058220798583533906
Zambia,ZMB,0.018644427916200357
Zimbabwe,ZWE,0.00020682317614273416
