"","country.code","country","country.x","country.y","year","happiness"
"102","LTU","Lithuania","Lithuania","Lithuania",2015,5.7113781
"103","LUX","Luxembourg","Luxembourg","Luxembourg",2015,6.7015715
"104","LVA","Latvia","Latvia","Latvia",2015,5.8805976
"105","MAR","Morocco","Morocco","Morocco",2015,5.163157
"106","MCO","Monaco",NA,NA,NA,NA
"107","MDA","Rep. of Moldova","Rep. of Moldova","Moldova",2015,6.0174723
"108","MDG","Madagascar","Madagascar","Madagascar",2015,3.592514
"109","MEX","Mexico","Mexico","Mexico",2015,6.2362871
"110","MKD","The former Yugoslav Republic of Macedonia","The former Yugoslav Republic of Macedonia","Macedonia",2015,4.9755898
"111","MLI","Mali","Mali","Mali",2015,4.5820985
"112","MLT","Malta","Malta","Malta",2015,6.6133943
"113","MMR","Myanmar","Myanmar","Myanmar",2015,4.2238464
"114","MNE","Montenegro","Montenegro","Montenegro",2015,5.1249213
"115","MNG","Mongolia","Mongolia","Mongolia",2015,4.9827199
"116","MOZ","Mozambique","Mozambique","Mozambique",2015,4.5497675
"117","MRT","Mauritania","Mauritania","Mauritania",2015,3.9226642
"118","MWI","Malawi","Malawi","Malawi",2015,3.8676383
"119","MYS","Malaysia","Malaysia","Malaysia",2015,6.3221211
"120","NAM","Namibia",NA,NA,NA,NA
"121","NER","Niger","Niger","Niger",2015,3.6714537
"122","NGA","Nigeria","Nigeria","Nigeria",2015,4.9329147
"123","NIC","Nicaragua","Nicaragua","Nicaragua",2015,5.9241128
"124","NLD","Netherlands","Netherlands","Netherlands",2015,7.3244371
"125","NOR","Norway","Norway","Norway",2015,7.6034336
"126","NPL","Nepal","Nepal","Nepal",2015,4.8124366
"127","NRU","Nauru",NA,NA,NA,NA
"128","NZL","New Zealand","New Zealand","New Zealand",2015,7.4181209
"129","OMN","Oman",NA,NA,NA,NA
"130","ORT","Portugal",NA,NA,NA,NA
"131","PAK","Pakistan","Pakistan","Pakistan",2015,4.823195
"132","PAN","Panama","Panama","Panama",2015,6.6055503
"133","PER","Peru","Peru","Peru",2015,5.5772634
"134","PHL","Philippines","Philippines","Philippines",2015,5.5474892
"135","PNG","Papua New Guinea",NA,NA,NA,NA
"136","POL","Poland","Poland","Poland",2015,6.0070219
"137","PRK","Dem. People's Rep. of Korea",NA,NA,NA,NA
"138","PRY","Paraguay","Paraguay","Paraguay",2015,5.5597243
"139","QAT","Qatar","Qatar","Qatar",2015,6.3745294
