"","country.code","country.x","refugees","country.y","population","pop.million","country","refugees.per.million.pop"
"77","ISL","Iceland",179,"Iceland",330815,0.330815,"Iceland",541
"78","ISR","Israel",32946,"Israel",8380100,8.3801,"Israel",3931
"79","ITA","Italy",118047,"Italy",60730582,60.730582,"Italy",1944
"80","JAM","Jamaica",12,"Jamaica",2871934,2.871934,"Jamaica",4
"81","JOR","Jordan",664118,"Jordan",9159302,9.159302,"Jordan",72507
"82","JPN","Japan",2474,"Japan",127141000,127.141,"Japan",19
"83","KAZ","Kazakhstan",708,"Kazakhstan",17542806,17.542806,"Kazakhstan",40
"84","KEN","Kenya",553912,"Kenya",47236259,47.236259,"Kenya",11726
"85","KGZ","Kyrgyzstan",354,"Kyrgyz Republic",5956900,5.9569,"Kyrgyzstan",59
"86","KHM","Cambodia",76,"Cambodia",15517635,15.517635,"Cambodia",5
"87","KOR","Rep. of Korea",1463,"Korea, Rep.",51014947,51.014947,"Rep. of Korea",29
"88","KWT","Kuwait",741,"Kuwait",3935794,3.935794,"Kuwait",188
"89","LBN","Lebanon",1070854,"Lebanon",5851479,5.851479,"Lebanon",183006
"90","LBR","Liberia",36505,"Liberia",4499621,4.499621,"Liberia",8113
"91","LBY","Libya",9305,"Libya",6234955,6.234955,"Libya",1492
"92","LCA","Saint Lucia",1,"St. Lucia",177206,0.177206,"Saint Lucia",6
"93","LIE","Liechtenstein",150,"Liechtenstein",37403,0.037403,"Liechtenstein",4010
"94","LKA","Sri Lanka",784,"Sri Lanka",20966000,20.966,"Sri Lanka",37
"95","LSO","Lesotho",31,"Lesotho",2174645,2.174645,"Lesotho",14
"96","LTU","Lithuania",1093,"Lithuania",2904910,2.90491,"Lithuania",376
"97","LUX","Luxembourg",1332,"Luxembourg",569604,0.569604,"Luxembourg",2338
"98","LVA","Latvia",208,"Latvia",1977527,1.977527,"Latvia",105
"99","MAR","Morocco",3908,"Morocco",34803322,34.803322,"Morocco",112
"100","MCO","Monaco",32,"Monaco",38307,0.038307,"Monaco",835
"101","MDA","Rep. of Moldova",446,"Moldova",3554108,3.554108,"Rep. of Moldova",125
"102","MDG","Madagascar",10,"Madagascar",24234088,24.234088,"Madagascar",0
"103","MEX","Mexico",2923,"Mexico",125890949,125.890949,"Mexico",23
"104","MKD","The former Yugoslav Republic of Macedonia",701,"Macedonia, FYR",2079308,2.079308,"The former Yugoslav Republic of Macedonia",337
"105","MLI","Mali",15917,"Mali",17467905,17.467905,"Mali",911
"106","MLT","Malta",7075,"Malta",445053,0.445053,"Malta",15897
