"","country","country.code.x","population","country.code.y","country.code"
"121","Senegal","SEN",14976994,"SEN","SEN"
"122","Sierra Leone","SLE",7237025,"SLE","SLE"
"123","Singapore","SGP",5535002,"SGP","SGP"
"124","Sint Maarten (Dutch part)","SXM",38824,"SXM","SXM"
"125","Slovenia","SVN",2063531,"SVN","SVN"
"126","Solomon Islands","SLB",587482,"SLB","SLB"
"127","Somalia","SOM",13908129,"SOM","SOM"
"128","South Africa","ZAF",55291225,"ZAF","ZAF"
"129","South Sudan","SSD",11882136,"SSD","SSD"
"130","Spain","ESP",46444832,"ESP","ESP"
"131","Sri Lanka","LKA",20966000,"LKA","LKA"
"132","Sudan","SDN",38647803,"SDN","SDN"
"133","Suriname","SUR",553208,"SUR","SUR"
"134","Sweden","SWE",9799186,"SWE","SWE"
"135","Switzerland","CHE",8282396,"CHE","CHE"
"136","Tajikistan","TJK",8548651,"TJK","TJK"
"137","Thailand","THA",68657600,"THA","THA"
"138","Timor-Leste","TLS",1240977,"TMP","TLS"
"139","Togo","TGO",7416802,"TGO","TGO"
"140","Trinidad and Tobago","TTO",1360092,"TTO","TTO"
"141","Tunisia","TUN",11273661,"TUN","TUN"
"142","Turkey","TUR",78271472,"TUR","TUR"
"143","Turkmenistan","TKM",5565284,"TKM","TKM"
"144","Turks and Caicos Islands","TCA",34339,"TCA","TCA"
"145","Uganda","UGA",40144870,"UGA","UGA"
"146","Ukraine","UKR",45154029,"UKR","UKR"
"147","United Arab Emirates","ARE",9154302,"UAE","ARE"
"148","United Kingdom","GBR",65128861,"GBR","GBR"
"149","Uruguay","URY",3431552,"URY","URY"
"150","Uzbekistan","UZB",31298900,"UZB","UZB"
"151","Vanuatu","VUT",264603,"VUT","VUT"
"152","Zambia","ZMB",16100587,"ZMB","ZMB"
"153","Zimbabwe","ZWE",15777451,"ZWE","ZWE"
