"","country.code","country.x","refugees","country.y","population","pop.million","refugees.per.million.pop","country"
"75","IRN","Iran (Islamic Rep. of)",979437,"Iran, Islamic Rep.",79360487,79.360487,12342,"Iran (Islamic Rep. of)"
"76","IRQ","Iraq",277701,"Iraq",36115649,36.115649,7689,"Iraq"
"77","ISL","Iceland",179,"Iceland",330815,0.330815,541,"Iceland"
"78","ISR","Israel",32946,"Israel",8380100,8.3801,3931,"Israel"
"79","ITA","Italy",118047,"Italy",60730582,60.730582,1944,"Italy"
"80","JAM","Jamaica",12,"Jamaica",2871934,2.871934,4,"Jamaica"
"81","JOR","Jordan",664118,"Jordan",9159302,9.159302,72507,"Jordan"
"82","JPN","Japan",2474,"Japan",127141000,127.141,19,"Japan"
"83","KAZ","Kazakhstan",708,"Kazakhstan",17542806,17.542806,40,"Kazakhstan"
"84","KEN","Kenya",553912,"Kenya",47236259,47.236259,11726,"Kenya"
"85","KGZ","Kyrgyzstan",354,"Kyrgyz Republic",5956900,5.9569,59,"Kyrgyzstan"
"86","KHM","Cambodia",76,"Cambodia",15517635,15.517635,5,"Cambodia"
"87","KOR","Rep. of Korea",1463,"Korea, Rep.",51014947,51.014947,29,"Rep. of Korea"
"88","KWT","Kuwait",741,"Kuwait",3935794,3.935794,188,"Kuwait"
"89","LBN","Lebanon",1070854,"Lebanon",5851479,5.851479,183006,"Lebanon"
"90","LBR","Liberia",36505,"Liberia",4499621,4.499621,8113,"Liberia"
"91","LBY","Libya",9305,"Libya",6234955,6.234955,1492,"Libya"
"92","LCA","Saint Lucia",1,"St. Lucia",177206,0.177206,6,"Saint Lucia"
"93","LIE","Liechtenstein",150,"Liechtenstein",37403,0.037403,4010,"Liechtenstein"
"94","LKA","Sri Lanka",784,"Sri Lanka",20966000,20.966,37,"Sri Lanka"
"95","LSO","Lesotho",31,"Lesotho",2174645,2.174645,14,"Lesotho"
"96","LTU","Lithuania",1093,"Lithuania",2904910,2.90491,376,"Lithuania"
"97","LUX","Luxembourg",1332,"Luxembourg",569604,0.569604,2338,"Luxembourg"
"98","LVA","Latvia",208,"Latvia",1977527,1.977527,105,"Latvia"
"99","MAR","Morocco",3908,"Morocco",34803322,34.803322,112,"Morocco"
"100","MCO","Monaco",32,"Monaco",38307,0.038307,835,"Monaco"
