,country,country_code,highest_ten_income_share_resid
198,Timor-Leste,TLS,
199,Tonga,TON,
200,Trinidad and Tobago,TTO,
201,Tunisia,TUN,
202,Tuvalu,TUV,
203,Tanzania,TZA,
204,Uganda,UGA,
205,United States,USA,
206,Uzbekistan,UZB,
207,St. Vincent and the Grenadines,VCT,
208,"Venezuela, RB",VEN,
209,British Virgin Islands,VGB,
210,Virgin Islands (U.S.),VIR,
211,Vietnam,VNM,
212,Vanuatu,VUT,
213,Samoa,WSM,
214,"Yemen, Rep.",YEM,
215,South Africa,ZAF,
216,Zimbabwe,ZWE,
