,Unnamed: 0,idps,country_code,country,idps_resid
130,133,0.0,ROU,Romania,0.0
131,134,0.0,RUS,Russian Federation,0.0
132,135,0.0,RWA,Rwanda,-637.1627859789653
133,136,0.0,LCA,St. Lucia,0.0
134,137,0.0,WSM,Samoa,-298.3315616880204
135,138,0.0,SAU,Saudi Arabia,0.0
136,139,0.0,SEN,Senegal,-527.9021202169534
137,140,220002.0,SRB,Serbia,220002.0
138,141,0.0,SLE,Sierra Leone,-677.1961566323253
139,142,0.0,SGP,Singapore,0.0
140,144,0.0,SVK,Slovak Republic,0.0
141,145,0.0,SVN,Slovenia,0.0
142,146,0.0,SLB,Solomon Islands,-598.4545495606973
143,147,1133000.0,SOM,Somalia,
144,148,0.0,ZAF,South Africa,0.0
145,149,1790427.0,SSD,South Sudan,1789803.0498362412
146,150,0.0,ESP,Spain,0.0
147,151,44934.0,LKA,Sri Lanka,44934.0
148,152,3218234.0,SDN,Sudan,3217827.2039900315
149,153,0.0,SUR,Suriname,0.0
150,154,0.0,SWZ,Eswatini,-125.13204576647804
151,155,0.0,SWE,Sweden,0.0
152,156,0.0,CHE,Switzerland,0.0
153,157,6563462.0,SYR,Syrian Arab Republic,
154,158,0.0,TJK,Tajikistan,-553.3739877535551
155,159,0.0,THA,Thailand,0.0
156,160,0.0,MKD,"Macedonia, FYR",0.0
157,161,0.0,TLS,Timor-Leste,-151.41230094437887
158,162,0.0,TGO,Togo,-664.301992743954
159,163,0.0,TTO,Trinidad and Tobago,0.0
160,164,0.0,TUN,Tunisia,0.0
161,165,0.0,TUR,Turkey,0.0
162,166,0.0,TKM,Turkmenistan,0.0
163,167,0.0,TCA,Turks and Caicos Islands,
164,168,0.0,UGA,Uganda,-643.6551311726654
165,169,1600000.0,UKR,Ukraine,1599853.5136338393
166,170,0.0,ARE,United Arab Emirates,0.0
167,171,0.0,GBR,United Kingdom,0.0
168,172,0.0,TZA,Tanzania,-567.0206230070355
169,173,0.0,USA,United States,0.0
170,174,0.0,URY,Uruguay,0.0
171,175,0.0,UZB,Uzbekistan,-286.59212173487686
172,176,0.0,VUT,Vanuatu,-538.30177498772
173,177,0.0,VEN,"Venezuela, RB",
174,178,0.0,VNM,Vietnam,-298.7408967883004
175,179,2532032.0,YEM,"Yemen, Rep.",2531516.5584961986
176,180,0.0,ZMB,Zambia,-464.9489218653652
177,181,0.0,ZWE,Zimbabwe,-594.047275159402
