,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,asylum_seekers,country_code,country_x,asylum_seekers_pct_pop,country_y,asylum_seekers_pct_pop_resid,country
54,54,54,54,57,2131.0,ETH,Ethiopia,0.002133709106441175,Ethiopia,-0.003787034389792019,Ethiopia
55,55,55,55,58,8.0,FJI,Fiji,0.0008967111995866162,Fiji,-0.005618846793280706,Fiji
56,56,56,56,59,24366.0,FIN,Finland,0.4446730933724072,Finland,0.4122715250401542,Finland
57,57,57,57,60,63057.0,FRA,France,0.09468961217548306,France,0.06376906358198478,France
58,58,58,58,61,1941.0,GAB,Gabon,0.10056082997655652,Gabon,0.09456964258611784,Gabon
59,59,59,59,62,0.0,GMB,"Gambia, The",0.0,"Gambia, The",-0.005923221918463447,"Gambia, The"
60,60,60,60,63,733.0,GEO,Georgia,0.019719673939361332,Georgia,0.01317154930250716,Georgia
61,61,61,61,64,420625.0,DEU,Germany,0.5149252672509574,Germany,0.4799808115329236,Germany
62,62,62,62,65,1859.0,GHA,Ghana,0.006739702222626177,Ghana,0.0006136990337069076,Ghana
63,63,63,63,66,26141.0,GRC,Greece,0.2415791761171431,Greece,0.2309410698668071,Greece
64,64,64,64,67,0.0,GRD,Grenada,0.0,Grenada,-0.006508842460348653,Grenada
65,65,65,65,68,125.0,GTM,Guatemala,0.0007691158041668723,Guatemala,-0.005669543388595735,Guatemala
66,66,66,66,69,198.0,GIN,Guinea,0.0016375094870104562,Guinea,-0.004302272664790415,Guinea
67,67,67,67,70,123.0,GNB,Guinea-Bissau,0.006947088040503218,Guinea-Bissau,0.001033602246899249,Guinea-Bissau
68,68,68,68,71,1.0,GUY,Guyana,0.00013012124697793403,Guyana,-0.006292676546271985,Guyana
69,69,69,69,72,11.0,HTI,Haiti,0.00010269757589841008,Haiti,-0.0058280023925941435,Haiti
70,70,70,70,73,9.0,HND,Honduras,0.00010043713589445796,Honduras,-0.006073470719913255,Honduras
71,71,71,71,74,36693.0,HUN,Hungary,0.3727816277673903,Hungary,0.3630366020757408,Hungary
72,72,72,72,75,161.0,ISL,Iceland,0.048667684355304316,Iceland,0.013759132050821202,Iceland
73,73,73,73,76,6480.0,IND,India,0.0004950139642064264,India,-0.005816819632072146,India
74,74,74,74,77,7591.0,IDN,Indonesia,0.0029404004761922602,Indonesia,-0.0037158369008120327,Indonesia
75,75,75,75,78,42.0,IRN,"Iran, Islamic Rep.",5.292306232949402e-05,"Iran, Islamic Rep.",-0.005978175251945074,"Iran, Islamic Rep."
76,76,76,76,79,7420.0,IRQ,Iraq,0.020545110514281498,Iraq,0.014299551433477675,Iraq
77,77,77,77,80,5055.0,IRL,Ireland,0.10750842681036854,Ireland,0.0783050035142554,Ireland
78,78,78,78,81,11677.0,ISR,Israel,0.13934201262514767,Israel,0.1143537230229751,Israel
79,79,79,79,82,60156.0,ITA,Italy,0.09905388359360692,Italy,0.07310940683621628,Italy
80,80,80,80,83,5.0,JAM,Jamaica,0.00017409870839650216,Jamaica,-0.0063185177292688684,Jamaica
81,81,81,81,84,13831.0,JPN,Japan,0.01087847350579278,Japan,-0.020211934747811442,Japan
82,82,82,82,85,24935.0,JOR,Jordan,0.27223690189492605,Jordan,0.26572054465115297,Jordan
83,83,83,83,86,97.0,KAZ,Kazakhstan,0.0005529332080626098,Kazakhstan,-0.007846306277549635,Kazakhstan
84,84,84,84,87,39969.0,KEN,Kenya,0.08461508351031778,Kenya,0.07858098120947833,Kenya
85,85,85,85,88,900.0,KWT,Kuwait,0.02286705046046617,Kuwait,-0.0038059624503165405,Kuwait
86,86,86,86,89,158.0,KGZ,Kyrgyz Republic,0.0026523863083147275,Kyrgyz Republic,-0.0034184195640715904,Kyrgyz Republic
87,87,87,87,90,179.0,LVA,Latvia,0.009051709534180823,Latvia,0.0010347132134864417,Latvia
88,88,88,88,91,12139.0,LBN,Lebanon,0.2074518254273834,Lebanon,0.2010033230166914,Lebanon
89,89,89,89,92,4.0,LSO,Lesotho,0.00018393806805248682,Lesotho,-0.00583927458155118,Lesotho
90,90,90,90,93,15.0,LBR,Liberia,0.00033336140977206747,Liberia,-0.005561213276540885,Liberia
91,91,91,91,94,27479.0,LBY,Libya,0.4407249130105991,Libya,0.4344933803900843,Libya
92,92,92,92,95,97.0,LIE,Liechtenstein,0.2593374862978905,Liechtenstein,,Liechtenstein
93,93,93,93,96,82.0,LTU,Lithuania,0.0028228069027956115,Lithuania,-0.011868196846269429,Lithuania
94,94,94,94,97,2395.0,LUX,Luxembourg,0.4204675528963982,Luxembourg,0.4066073285960052,Luxembourg
95,95,95,95,98,12.0,MDG,Madagascar,4.951702742021899e-05,Madagascar,-0.005858188692567297,Madagascar
96,96,96,96,99,14470.0,MWI,Malawi,0.08233938542042052,Malawi,0.07645543124040956,Malawi
97,97,97,97,100,60415.0,MYS,Malaysia,0.1966432158416022,Malaysia,0.18610276268880424,Malaysia
98,98,98,98,101,340.0,MLI,Mali,0.0019464268897729864,Mali,-0.004007098889864839,Mali
99,99,99,99,102,590.0,MLT,Malta,0.1325684806079276,Malta,0.10786356595947463,Malta
100,100,100,100,103,497.0,MRT,Mauritania,0.01188329693824583,Mauritania,0.005778414339621803,Mauritania
101,101,101,101,104,1350.0,MEX,Mexico,0.001072356679112809,Mexico,-0.00499458979472363,Mexico
102,102,102,102,105,11.0,FSM,"Micronesia, Fed. Sts.",0.010533069049055377,"Micronesia, Fed. Sts.",0.004459143603229343,"Micronesia, Fed. Sts."
103,103,103,103,106,0.0,MCO,Monaco,0.0,Monaco,,Monaco
104,104,104,104,107,6.0,MNG,Mongolia,0.00020155350724937576,Mongolia,-0.006429959650411715,Mongolia
105,105,105,105,108,20.0,MNE,Montenegro,0.0032146123418611643,Montenegro,-0.00295655039510721,Montenegro
106,106,106,106,109,1565.0,MAR,Morocco,0.004496697183102235,Morocco,-0.0019422657215426504,Morocco
107,107,107,107,110,14825.0,MOZ,Mozambique,0.05292622020642047,Mozambique,0.04703985966773695,Mozambique
108,108,108,108,111,1.0,MMR,Myanmar,1.908263331714426e-06,Myanmar,-0.006243760722848493,Myanmar
109,109,109,109,112,1112.0,NAM,Namibia,0.04584506429646585,Namibia,0.0392297359741823,Namibia
110,110,110,110,113,302.0,NRU,Nauru,2.4208416833667337,Nauru,2.414279704333165,Nauru
111,111,111,111,114,17.0,NPL,Nepal,5.9323815978639516e-05,Nepal,-0.005928438851875192,Nepal
112,112,112,112,115,28051.0,NLD,Netherlands,0.1655910714588254,Netherlands,0.13065507522691613,Netherlands
