,country,country_code,net_fdi_resid
154,Timor-Leste,TLS,686876446.1952093
155,Tonga,TON,640356110.3522955
156,Trinidad and Tobago,TTO,195758298.94361305
157,Tunisia,TUN,-148718991.029894
158,Turkey,TUR,-12244338793.306051
159,Tanzania,TZA,-1027376014.2477751
160,Uganda,UGA,-183361417.47586536
161,Ukraine,UKR,-2292758160.492258
162,Uruguay,URY,43309696.80960357
163,United States,USA,-201955945269.8971
164,St. Vincent and the Grenadines,VCT,754994160.2022468
165,Vietnam,VNM,-10037748183.624311
166,Vanuatu,VUT,556428069.4919722
167,Samoa,WSM,639229730.72599
168,Kosovo,XKX,468678960.8819678
169,"Yemen, Rep.",YEM,608348018.7064846
170,South Africa,ZAF,4919573046.098538
171,Zambia,ZMB,-1115820699.9969735
172,Zimbabwe,ZWE,169811699.3709333
173,Andorra,AND,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,United Arab Emirates,ARE,
218,American Samoa,ASM,
219,Bermuda,BMU,
220,Barbados,BRB,
221,Central African Republic,CAF,
222,Channel Islands,CHI,
223,Comoros,COM,
224,Cuba,CUB,
225,Curacao,CUW,
226,Cayman Islands,CYM,
227,Djibouti,DJI,
228,East Asia & Pacific,EAS,
229,Eritrea,ERI,
230,Faroe Islands,FRO,
231,"Micronesia, Fed. Sts.",FSM,
232,Gabon,GAB,
233,Gibraltar,GIB,
234,Equatorial Guinea,GNQ,
235,Greenland,GRL,
236,Guam,GUM,
237,Isle of Man,IMN,
238,"Iran, Islamic Rep.",IRN,
239,Liechtenstein,LIE,
240,St. Martin (French part),MAF,
241,Monaco,MCO,
242,Mali,MLI,
243,Northern Mariana Islands,MNP,
244,New Caledonia,NCL,
245,Nauru,NRU,
246,Puerto Rico,PRI,
247,"Korea, Dem. People’s Rep.",PRK,
248,Pacific island small states,PSS,
249,French Polynesia,PYF,
250,South Asia,SAS,
251,Senegal,SEN,
252,San Marino,SMR,
253,Somalia,SOM,
254,Sub-Saharan Africa,SSF,
255,Syrian Arab Republic,SYR,
256,Turks and Caicos Islands,TCA,
257,Chad,TCD,
258,Turkmenistan,TKM,
259,Tuvalu,TUV,
260,Uzbekistan,UZB,
261,"Venezuela, RB",VEN,
262,British Virgin Islands,VGB,
263,Virgin Islands (U.S.),VIR,
