,Unnamed: 0,recognition_rate,country_code,country
132,134,0.0027666487410883647,SRB,Serbia
133,135,,SLE,Sierra Leone
134,137,3.4782608695652173,SVK,Slovak Republic
135,138,13.076923076923075,SVN,Slovenia
136,139,41.9277108433735,SOM,Somalia
137,140,3.6012907852276803,ZAF,South Africa
138,141,42.04545454545455,SSD,South Sudan
139,142,10.172655156322913,ESP,Spain
140,143,52.60663507109005,LKA,Sri Lanka
141,144,95.86846543001688,SDN,Sudan
142,145,20.0,SUR,Suriname
143,146,61.24031007751938,SWZ,Eswatini
144,147,18.213246764197482,SWE,Sweden
145,148,15.933066569661696,CHE,Switzerland
146,149,46.950301204819276,SYR,Syrian Arab Republic
147,150,62.076749435665924,TJK,Tajikistan
148,151,44.3875541551792,THA,Thailand
149,152,0.058309037900874626,MKD,"Macedonia, FYR"
150,153,100.0,TGO,Togo
151,154,50.78125,TTO,Trinidad and Tobago
152,155,11.920529801324506,TUN,Tunisia
153,156,40.742034280801676,TUR,Turkey
154,157,0.0,TCA,Turks and Caicos Islands
155,158,89.79167836487171,UGA,Uganda
156,159,16.611661166116615,UKR,Ukraine
157,160,96.03174603174604,ARE,United Arab Emirates
158,161,30.354949887097412,GBR,United Kingdom
159,162,44.41913439635535,TZA,Tanzania
160,163,28.135274776890558,USA,United States
161,164,46.875,URY,Uruguay
162,165,,VUT,Vanuatu
163,166,72.08333333333333,VEN,"Venezuela, RB"
164,167,9.656084656084657,YEM,"Yemen, Rep."
165,168,74.7080291970803,ZMB,Zambia
166,169,4.446640316205533,ZWE,Zimbabwe
