"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Azerbaijan","AZE","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-330050000","-627277000","-1114834000","-1022947000","-510317000","-129177000","-226513000","-1066821000","-2351747000","-2351283000","-459151000","1289475000","5034521000","540824000","-147181000","-331155000","-932582000","-812407000","-1141550000","-2443393000","-838252000","-1926065000","-303106351.9","",
"Burundi","BDI","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","-538566.543006104","-1524028.63247118","-1367714.12346925","-1196623.81138929","-516806.722689075","-1249595.51157749","-864953.807151113","-600088.333002617","-337754.345497982","98946.2227279474","-1381339.89970271","","","","236530.997005656","-11683240.6730743","2288.18254076578","","-4618.42567105725","-44690.7076028704","-584701.692574561","-31593.7781888499","-465213.14733302","-3251690.82159558","-348404.534569828","-780582.003631939","-3354999.1805922","-604919.651526489","-116560393.846233","-81719783.795899","-49470693.0791751","-18977.0905017849","-306525.819016746","",
"Belgium","BEL","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9178389075.04427","4499239641.29803","-9733217983.88196","-1139201856.61215","-8688143201.93193","-13095644187.1029","32847748784.7198","-61786380961.7673","-53443937320.0579","-31908772417.3895","27171589994.4718","4855245258.85766","9755460259.8032","16338968915.7905","-30148298063.1477","31081213583.4526","",
"Benin","BEN","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","2343120.32888629","-1889760.24940719","-2452390.82596359","-3126021.57196208","-753359.561873316","-3370602.00190833","-4316555.84568939","-2060858.2287554","541681.71949866","532716.067056893","462288.40481404","","","","","-62096190.0734221","-62376777.1352233","-120780806.62353","-77571726.5958987","-1403787.18368037","-13648839.8950778","-13329502.1175034","-13595869.3350258","-13876006.4920732","-32748439.5045158","-37820420.3818671","-56153556.566138","-41553069.4584524","-12158024.9939515","-44416700.0330169","-65154248.9841459","-53428819.1287954","-54929323.5272258","-261336701.291484","-173827794.634795","-103099138.948255","-194717291.130986","-101441761.911935","-241229097.024233","-301668020.207758","-387942352.65048","-116967795.514923","-114318623.930014","","",
"Burkina Faso","BFA","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-34347098.0113685","-34500556.9400165","-336931341.513364","-103839781.741216","-71077878.9158487","-38150366.7180289","-41418528.2993259","-256340928.4186","-431973613.116121","-287367926.832935","-217631986.631092","-339842468.763802","","",
"Bangladesh","BGD","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","-403978.557545405","553269.398283548","","-2436499.3440436","-3205086.7621919","-1838242.49913628","-247908.273938643","-3238781.18895631","-1390444.32247979","-3721853.38228801","-14049886.5245761","-11147788.327757","-1896372.12711773","-13529831.5362586","-136310534.134237","-187057212.499121","-179603006.318605","-280384629.677983","-78527040.0772574","-49662443.9923349","-265507414.091238","-444836577.956305","-758530217.355429","-452928348.08698","-516766232.527525","-1137762261.22987","-720457353.571077","-1165816161.07858","-967290773.513049","-1295344530.46955","-2056085292.75007","-2497421015.99741","-2771250741.40178","-2292208318.36861","-1993662220.25797","",
"Bulgaria","BGR","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4000000","-55900000","-41500000","-40000000","-105400000","-98400000","-137500000","-506500000","-537253653.093478","-801671162.886439","-998219916.685135","-803281565.315899","-876321850.153046","-2070285897.61502","-2879178250.31481","-4004786052.34486","-7582756075.81876","-12903082288.9807","-9179244609.95921","-3535417639.07974","-1253650000","-1611440000","-1378130000","-1637500000","-211260000","-2508080000","-709260000","-1232610000","",
"Bahrain","BHR","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","-22970508.3355514","-145171539.850449","418036875.019954","","-28457446.8841953","-64095744.8513185","-140691489.51761","-101329787.234043","31914893.6170213","35904255.3191489","-222074468.085106","-180851063.829787","207712765.957447","-569414893.617021","-815691489.361702","313829796.276124","-9574468.97634685","-446662590.643492","-1743329779.55431","-281638617.185887","1369868.84838132","-290386397.097415","-354009613.612708","135596788.456027","-26956705.9389952","224654326.553137","170330179.249347","86771034.2841144","-1934606676.81138","-87163578.6117713","-173519631.140213","-2048638923.12243","178271544.021768","112765957.446808","1028723404.25532","3196063829.78723","1913031914.89362","-3126063829.78723","1123404255.31915","289893617.021277","",
"Bahamas, The","BHS","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","-14600000","-31400000","1100000","-9600000","-4100000","-34400000","-2800000","6000000","4900000","30200000","13200000","-10800000","-36700000","-25000000","17200000","","","-27000000","-23500000","-106700000","-88100000","-209600000","-145900000","-149100000","-250250000","-102370000","-152790000","-190200000","-273600000","-563414700","-706380000","-713350000","-860156197.03","-663960000","-871970000","-666621000","-526171000","-382252000","-251277428.82","-76075924.75","-73723568.41","-594994763.784","",
"Bosnia and Herzegovina","BIH","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-66736468.3604305","-176780594.760508","-146075610.876644","-118495219.813023","-267769568.956599","-381784637.391406","-708312302.704066","-607373915.360547","-764131962.543175","-1777373274.55128","-965405030.760019","-231998611.544701","-362660381.874081","-476436501.691437","-332376367.374972","-227032907.49788","-534904935.992605","-288355804.376773","-282567715.733492","-367820916.865983","",
