"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Central African Republic","CAF","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","18.23617","","","","","","","","","","","","","33.62442","","","","","","","","","","","","50.64517","","","","","","","","","","36.75261","","","","","","","","",
"Canada","CAN","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","98.00689","98.02631","98.05827","98.0856","98.10734","98.13963","98.2082","98.2721","98.33477","98.38094","98.43246","98.47438","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","91.1284","","","","","","","","","","94.29114","","","","","","","","","","95.71662","","","","","","98.64901","98.55368","","96.70301","","96.26706","","96.8741299999999","","","",
"China","CHN","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","65.50509","","","","","","","","77.78506","","","","","","","","","","90.92021","","","","","","","","","","95.12448","","","","","","","","",
"Cote d'Ivoire","CIV","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.13928","","","","","","","","","","36.35024","","48.74076","","","","","","","","","","","","40.98163","","43.90842","","","","",
"Cameroon","CMR","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","41.21621","","","","","","","","","","","","","","","","","","","","","","","","68.40916","","","","","","","70.67994","","","71.29051","","","","","","","","",
"Congo, Dem. Rep.","COD","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.17299","","","","","","61.20555","","","","","75.01719","","","","77.04268","","",
"Congo, Rep.","COG","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.31117","","","","","","","",
"Colombia","COL","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.06309","","","91.20716","","","","","","","","92.80378","92.84866","92.29968","92.65179","93.37818","93.24469","93.37233","93.58053","","","94.18625","94.24505","94.65385","","",
"Comoros","COM","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","47.91923","","","","","","","","","","","","","","","","","","","","68.48923","","","","","","","","","","","","49.19614","","","","","","",
"Cabo Verde","CPV","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.79686","","","","","","","","","","","","","","81","","","","","","","","85.3277899999999","","","86.79029","","","",
"Costa Rica","CRI","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","92.62904","","","","","","","","","","","","","","","","94.86819","","","","","","","","","","","97.40658","","","","","","","",
"Caribbean small states","CSS","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.77129","86.8153","87.08187","87.32161","87.56225","87.80577","87.50032","88.32033","88.58603","88.83248","89.07212","89.3109","89.55313","89.76627","90.29448","90.51049","90.71516","","","","","","","","","",
"Cuba","CUB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","97.84665","","","","","","","","","","","","","","","","","","","","","99.79907","","","","","","","","","","99.7525299999999","","","","","","",
"Curacao","CUW","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.86782","","","","","","","","","","","",
"Cyprus","CYP","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.36247","","","","","","","","","96.80363","","","","","","","","","","98.67843","","","","","","","",
"Czech Republic","CZE","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","73.06457","","","","","","","","","","","","","","","","","","","","","86.99647","","","","","88.24446","","","89.53873","90.10638","90.15518","90.85815","91.76376","91.99121","93.77846","","",
"Algeria","DZA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.63088","","","","","","","","","","","","","","","69.8735","","","","72.64868","","75.13605","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","64.01993","64.1843","65.30334","66.46397","66.97471","68.67846","69.34541","70.84641","71.89396","72.89674","73.82719","75.07429","79.37541","80.06918","79.79885","81.22664","81.72661","82.1846","82.72142","83.25121","83.78144","89.40332","89.77128","90.10101","90.57497","90.85471","91.22521","91.58946","92.1301","92.49397","92.91788","93.9971","94.23727","94.53922","94.62366","94.45929","94.68354","94.77481","95.12328","95.2526","95.37519","","",
"Early-demographic dividend","EAR","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","48.81366","49.05571","49.69234","50.32672","50.93276","51.00415","51.82427","52.76275","53.3785","54.16983","54.82246","55.46878","56.35444","57.10424","57.79252","58.67016","59.18952","60.19956","60.98883","61.79185","62.58469","63.31489","63.97211","66.9927","67.60191","68.26212","68.71656","69.37874","70.41303","71.18626","71.08765","71.24246","72.14902","73.14989","73.97933","75.2004","74.69032","76.49464","76.9538","77.6761","78.1656","78.68024","","",
"East Asia & Pacific","EAS","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","68.77466","68.87067","69.78968","70.74184","71.12901","72.55735","73.08464","74.33903","75.20576","76.04138","76.82092","77.88814","81.63784","82.22966","82.00383","83.25179","83.67971","84.06937","84.53053","84.99768","85.45928","90.4183","90.74679","91.04059","91.46029","91.70931","92.03837","92.36223","92.84659","93.16707","93.54266","94.50484","94.71875","94.98859","95.06498","94.91905","95.12052","95.2035","95.51643","95.63301","95.74399","","",
"Europe & Central Asia (excluding high income)","ECA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","94.12606","94.78561","94.96654","95.0232","95.14988","95.28923","95.3741","95.58887","95.63856","95.76532","95.88623","96.00478","96.12787","96.30593","96.41598","96.73808","96.79916","96.91603","96.99275","97.07689","97.14916","97.29369","97.49521","97.45829","97.55205","97.573","98.08223","98.38273","98.62805","98.75351","98.79772","98.82647","98.85536","98.92272","","",
"Europe & Central Asia","ECS","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.50375","96.70758","96.76774","96.894","96.93921","97.01623","97.09146","97.16499","97.27277","97.40359","97.50205","97.70623","97.78225","97.88235","97.96304","98.02866","98.10574","98.19539","98.27818","98.30433","98.33823","98.35742","98.56719","98.71305","98.87012","98.94292","98.98037","99.00192","99.02565","99.06869","","",
"Ecuador","ECU","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","83.55269","","","","","","","","88.29876","","","","","","","","","","","90.98403","","","","","","92.09679","92.39005","92.24976","91.85404","91.5869","92.06473","93.29463","94.22264","94.45566","94.35023","","",
