,country,country_code,risk_premium_resid
196,Sint Maarten (Dutch part),SXM,
197,Syrian Arab Republic,SYR,
198,Turks and Caicos Islands,TCA,
199,Chad,TCD,
200,Togo,TGO,
201,Turkmenistan,TKM,
202,Timor-Leste,TLS,
203,Tonga,TON,
204,Tunisia,TUN,
205,Turkey,TUR,
206,Tuvalu,TUV,
207,Ukraine,UKR,
208,Uzbekistan,UZB,
209,"Venezuela, RB",VEN,
210,British Virgin Islands,VGB,
211,Virgin Islands (U.S.),VIR,
212,Vietnam,VNM,
213,Vanuatu,VUT,
214,Samoa,WSM,
215,"Yemen, Rep.",YEM,
216,Zimbabwe,ZWE,
