,Country Rank,country_code,ti_cpi,country,ti_cpi_resid
129,130,UKR,27,Ukraine,-5.386697224161104
130,136,COM,26,Comoros,-2.3956878630640013
131,136,NGA,26,Nigeria,-5.023614283678349
132,136,TJK,26,Tajikistan,-2.5194364128992994
133,139,BGD,25,Bangladesh,-3.9338546431322534
134,139,GIN,25,Guinea,-2.7706069324075706
135,139,KEN,25,Kenya,-3.6842314401555143
136,139,LAO,25,Lao PDR,-6.079333080715191
137,139,PNG,25,Papua New Guinea,-4.512063978504383
138,139,UGA,25,Uganda,-2.6918679843900364
139,145,CAF,24,Central African Republic,-2.7984983038808764
140,146,COG,23,"Congo, Rep.",-7.9112999868935425
141,147,TCD,22,Chad,-6.033399544212145
142,147,COD,22,"Congo, Dem. Rep.",-4.9620914061567305
143,147,MMR,22,Myanmar,-8.52197782066527
144,150,BDI,21,Burundi,-5.876721330568561
145,150,KHM,21,Cambodia,-8.066711349165018
146,150,ZWE,21,Zimbabwe,-7.143621376303379
147,153,UZB,19,Uzbekistan,-12.036030380385984
148,154,ERI,18,Eritrea,
149,154,SYR,18,Syrian Arab Republic,
150,154,TKM,18,Turkmenistan,-19.865757112886392
151,154,YEM,18,"Yemen, Rep.",-10.873262456541031
152,158,GNB,17,Guinea-Bissau,-10.504573800703792
153,158,HTI,17,Haiti,-10.679313266349837
154,158,VEN,17,"Venezuela, RB",
155,161,IRQ,16,Iraq,-21.555705412335513
156,161,LBY,16,Libya,-21.686292481002376
157,163,AGO,15,Angola,-16.774883757570425
158,163,SSD,15,South Sudan,-12.87031698334495
159,165,SDN,12,Sudan,-17.89709187474092
160,166,AFG,11,Afghanistan,-16.80786874057989
161,167,PRK,8,"Korea, Dem. People’s Rep.",
162,167,SOM,8,Somalia,
