,country,country_code,life_expectancy
172,Nigeria,NGA,52.985
173,Nicaragua,NIC,75.149
174,Netherlands,NLD,81.509756097561
175,Norway,NOR,82.3048780487805
176,Nepal,NPL,69.887
177,Nauru,NRU,
178,New Zealand,NZL,81.45682926829271
179,OECD members,OED,80.05407751918759
180,Oman,OMN,76.801
181,Other small states,OSS,67.3639125558869
182,Pakistan,PAK,66.322
183,Panama,PAN,77.806
184,Peru,PER,74.747
185,Philippines,PHL,68.95100000000001
186,Palau,PLW,
187,Papua New Guinea,PNG,65.384
188,Poland,POL,77.4512195121951
189,Pre-demographic dividend,PRE,59.5346694120201
190,Puerto Rico,PRI,79.5961219512195
191,"Korea, Dem. People’s Rep.",PRK,71.457
192,Portugal,PRT,81.1243902439025
193,Paraguay,PRY,73.023
194,West Bank and Gaza,PSE,73.29899999999999
195,Pacific island small states,PSS,70.6923836808558
196,Post-demographic dividend,PST,80.40786040786641
197,French Polynesia,PYF,76.628
198,Qatar,QAT,78.036
199,Romania,ROU,75.0121951219512
200,Russian Federation,RUS,71.1682926829268
201,Rwanda,RWA,66.696
202,South Asia,SAS,68.4565258804813
203,Saudi Arabia,SAU,74.4
204,Sudan,SDN,64.257
205,Senegal,SEN,66.78399999999999
206,Singapore,SGP,82.74390243902441
207,Solomon Islands,SLB,70.43
208,Sierra Leone,SLE,51.423
209,El Salvador,SLV,73.267
210,San Marino,SMR,
211,Somalia,SOM,55.876000000000005
212,Serbia,SRB,75.2878048780488
213,Sub-Saharan Africa (excluding high income),SSA,59.937809522268495
214,South Sudan,SSD,56.321999999999996
215,Sub-Saharan Africa,SSF,59.939142967319405
216,Small states,SST,68.6005261847654
217,Sao Tome and Principe,STP,66.488
218,Suriname,SUR,71.279
219,Slovak Republic,SVK,76.5634146341463
220,Slovenia,SVN,80.7756097560976
221,Sweden,SWE,82.2048780487805
222,Eswatini,SWZ,57.107
223,Sint Maarten (Dutch part),SXM,
224,Seychelles,SYC,74.2951219512195
225,Syrian Arab Republic,SYR,69.904
226,Turks and Caicos Islands,TCA,
227,Chad,TCD,52.575
228,East Asia & Pacific (IDA & IBRD countries),TEA,74.3710640140637
229,Europe & Central Asia (IDA & IBRD countries),TEC,72.992001083316
230,Togo,TGO,59.949
231,Thailand,THA,75.10300000000001
232,Tajikistan,TJK,70.87899999999999
233,Turkmenistan,TKM,67.704
234,Latin America & the Caribbean (IDA & IBRD countries),TLA,75.23120107007179
235,Timor-Leste,TLS,68.569
236,Middle East & North Africa (IDA & IBRD countries),TMN,72.7794841406427
237,Tonga,TON,72.88
238,South Asia (IDA & IBRD),TSA,68.4565258804813
239,Sub-Saharan Africa (IDA & IBRD countries),TSS,59.939142967319405
240,Trinidad and Tobago,TTO,70.556
241,Tunisia,TUN,75.525
242,Turkey,TUR,75.498
243,Tuvalu,TUV,
244,Tanzania,TZA,64.95
245,Uganda,UGA,59.575
246,Ukraine,UKR,71.189512195122
247,Upper middle income,UMC,75.0888384917493
248,Uruguay,URY,77.34100000000001
249,United States,USA,78.69024390243901
250,Uzbekistan,UZB,71.192
251,St. Vincent and the Grenadines,VCT,73.06
252,"Venezuela, RB",VEN,74.367
253,British Virgin Islands,VGB,
254,Virgin Islands (U.S.),VIR,79.1682926829268
255,Vietnam,VNM,76.05199999999999
256,Vanuatu,VUT,71.925
257,World,WLD,71.85712676181281
258,Samoa,WSM,74.77
259,Kosovo,XKX,71.34634146341459
260,"Yemen, Rep.",YEM,64.743
261,South Africa,ZAF,61.981
262,Zambia,ZMB,61.397
263,Zimbabwe,ZWE,60.398
