,Unnamed: 0,asylum_seekers,country_code,country,asylum_seekers_resid
117,120,25316.0,NOR,Norway,22900.876963052546
118,121,190.0,OMN,Oman,-3374.8845705835956
119,122,6442.0,PAK,Pakistan,5557.126461647736
120,123,2934.0,PAN,Panama,1473.156750825596
121,124,445.0,PNG,Papua New Guinea,-410.02666861944647
122,125,37.0,PRY,Paraguay,-1113.06240775656
123,126,379.0,PER,Peru,-792.4658427786139
124,127,210.0,PHL,Philippines,-757.717802156516
125,128,3303.0,POL,Poland,962.4863245173333
126,129,580.0,PRT,Portugal,-2318.8507233706523
127,130,118.0,QAT,Qatar,-22.146691418302794
128,131,5442.0,KOR,"Korea, Rep.",2010.1302867590543
129,132,110.0,MDA,Moldova,-776.6768053517388
130,133,432.0,ROU,Romania,-950.3863369242913
131,134,2088.0,RUS,Russian Federation,136.6656556039536
132,135,414.0,RWA,Rwanda,-374.0089561182831
133,136,1.0,LCA,St. Lucia,-1173.820594594248
134,137,3.0,WSM,Samoa,-913.2524107503929
135,138,32.0,SAU,Saudi Arabia,-2769.9369534823145
136,139,3119.0,SEN,Senegal,2293.439704841732
137,140,116.0,SRB,Serbia,-1067.7412334131218
138,141,17.0,SLE,Sierra Leone,-757.7530058380833
139,142,0.0,SGP,Singapore,-1499.7645040547106
140,144,173.0,SVK,Slovak Republic,-2724.1430936791444
141,145,103.0,SVN,Slovenia,-3078.26016164947
142,146,0.0,SLB,Solomon Islands,-801.0589211765821
143,147,10120.0,SOM,Somalia,
144,148,1096063.0,ZAF,South Africa,1094880.5511323665
145,149,839.0,SSD,South Sudan,46.56347950338875
146,150,11020.0,ESP,Spain,7602.494275539457
147,151,608.0,LKA,Sri Lanka,-539.608962003713
148,152,12581.0,SDN,Sudan,11710.218085475508
149,153,4.0,SUR,Suriname,-1179.5036183516709
150,154,268.0,SWZ,Eswatini,-736.3806028445889
151,155,157046.0,SWE,Sweden,153827.87453367852
152,156,32701.0,CHE,Switzerland,30372.96723281451
153,157,5251.0,SYR,Syrian Arab Republic,
154,158,288.0,TJK,Tajikistan,-528.5926599722725
155,159,8271.0,THA,Thailand,7081.686747433423
156,160,17.0,MKD,"Macedonia, FYR",-1167.7794417817602
157,161,0.0,TLS,Timor-Leste,-989.3012102534524
158,162,752.0,TGO,Togo,-26.996426431831537
159,163,82.0,TTO,Trinidad and Tobago,-3275.7020194470347
160,164,90.0,TUN,Tunisia,-1040.529543125782
161,165,212408.0,TUR,Turkey,210433.28503146512
162,166,0.0,TKM,Turkmenistan,-1187.0284772609368
163,167,0.0,TCA,Turks and Caicos Islands,
164,168,35779.0,UGA,Uganda,34993.15698972073
165,169,6502.0,UKR,Ukraine,5509.9335154104365
166,170,421.0,ARE,United Arab Emirates,-1637.8449912062943
167,171,45870.0,GBR,United Kingdom,42263.1356355164
168,172,2150.0,TZA,Tanzania,1338.1521930366898
169,173,286168.0,USA,United States,283494.98096943053
170,174,79.0,URY,Uruguay,-1224.337712326036
171,175,0.0,UZB,Uzbekistan,-921.5386015569694
172,176,1.0,VUT,Vanuatu,-820.8805689715933
173,177,235.0,VEN,"Venezuela, RB",
174,178,0.0,VNM,Vietnam,-916.0695380874675
175,179,9866.0,YEM,"Yemen, Rep.",9035.994610910664
176,180,2411.0,ZMB,Zambia,1562.5311796891333
177,181,259.0,ZWE,Zimbabwe,-543.5606144412004
