,Unnamed: 0,Unnamed: 0.1,country_x,country_code,fdi_net_pct_gdp,country_y,country
85,85,85,Haiti,HTI,0.5611239742014065,Haiti,Haiti
86,86,86,Hungary,HUN,-2.1436484009480603,Hungary,Hungary
87,87,87,Indonesia,IDN,0.6939653750123381,Indonesia,Indonesia
88,88,88,Isle of Man,IMN,,Isle of Man,Isle of Man
89,89,89,India,IND,0.5484329490309664,India,India
90,90,90,Ireland,IRL,72.99107147312982,Ireland,Ireland
91,91,91,"Iran, Islamic Rep.",IRN,0.1470102327055421,"Iran, Islamic Rep.","Iran, Islamic Rep."
92,92,92,Iraq,IRQ,0.5850597338312543,Iraq,Iraq
93,93,93,Iceland,ISL,7.291570856653683,Iceland,Iceland
94,94,94,Israel,ISR,3.7692803692206014,Israel,Israel
95,95,95,Italy,ITA,0.5976644811852261,Italy,Italy
96,96,96,Jamaica,JAM,3.7337643561113554,Jamaica,Jamaica
97,97,97,Jordan,JOR,1.9323167447308955,Jordan,Jordan
98,98,98,Japan,JPN,0.1014560437287024,Japan,Japan
99,99,99,Kazakhstan,KAZ,1.4516995797591103,Kazakhstan,Kazakhstan
100,100,100,Kenya,KEN,0.4344489815935271,Kenya,Kenya
101,101,101,Kyrgyz Republic,KGZ,5.570681170956295,Kyrgyz Republic,Kyrgyz Republic
102,102,102,Cambodia,KHM,3.3519578035417936,Cambodia,Cambodia
103,103,103,Kiribati,KIR,0.3588979817157925,Kiribati,Kiribati
104,104,104,St. Kitts and Nevis,KNA,8.130785702218981,St. Kitts and Nevis,St. Kitts and Nevis
105,105,105,"Korea, Rep.",KOR,0.2285239708963465,"Korea, Rep.","Korea, Rep."
106,106,106,Kuwait,KWT,0.0991837290756457,Kuwait,Kuwait
107,107,107,Lao PDR,LAO,2.6390343590271885,Lao PDR,Lao PDR
108,108,108,Lebanon,LBN,2.6106448639859376,Lebanon,Lebanon
109,109,109,Liberia,LBR,3.9854367590992057,Liberia,Liberia
110,110,110,Libya,LBY,0.7361481948004431,Libya,Libya
111,111,111,St. Lucia,LCA,5.07009485027962,St. Lucia,St. Lucia
112,112,112,Liechtenstein,LIE,,Liechtenstein,Liechtenstein
113,113,113,Sri Lanka,LKA,0.27475815689119204,Sri Lanka,Sri Lanka
114,114,114,Lesotho,LSO,1.801017579617144,Lesotho,Lesotho
115,115,115,Lithuania,LTU,1.1552612005508305,Lithuania,Lithuania
116,116,116,Luxembourg,LUX,19.38591510214484,Luxembourg,Luxembourg
117,117,117,Latvia,LVA,1.7152917552351494,Latvia,Latvia
118,118,118,"Macao SAR, China",MAC,0.5715376093668861,"Macao SAR, China","Macao SAR, China"
119,119,119,St. Martin (French part),MAF,,St. Martin (French part),St. Martin (French part)
120,120,120,Morocco,MAR,1.2028655891022175,Morocco,Morocco
121,121,121,Monaco,MCO,,Monaco,Monaco
122,122,122,Moldova,MDA,1.2031803762558744,Moldova,Moldova
123,123,123,Madagascar,MDG,0.9230906771808524,Madagascar,Madagascar
124,124,124,Maldives,MDV,4.84963128056966,Maldives,Maldives
125,125,125,Mexico,MEX,1.6931518245232078,Mexico,Mexico
126,126,126,Marshall Islands,MHL,-2.6076082728441565,Marshall Islands,Marshall Islands
127,127,127,"Macedonia, FYR",MKD,1.0313278247526851,"Macedonia, FYR","Macedonia, FYR"
128,128,128,Mali,MLI,0.771207648483302,Mali,Mali
129,129,129,Malta,MLT,18.580911876079426,Malta,Malta
130,130,130,Myanmar,MMR,1.4472106688144457,Myanmar,Myanmar
131,131,131,Montenegro,MNE,6.884251408315303,Montenegro,Montenegro
132,132,132,Mongolia,MNG,0.2607281631906095,Mongolia,Mongolia
133,133,133,Northern Mariana Islands,MNP,,Northern Mariana Islands,Northern Mariana Islands
134,134,134,Mozambique,MOZ,11.597908776034787,Mozambique,Mozambique
135,135,135,Mauritania,MRT,3.1279247518937803,Mauritania,Mauritania
136,136,136,Mauritius,MUS,0.8205704293519409,Mauritius,Mauritius
137,137,137,Malawi,MWI,2.5331658139588,Malawi,Malawi
138,138,138,Malaysia,MYS,1.2043735514796043,Malaysia,Malaysia
139,139,139,Namibia,NAM,4.538806764751104,Namibia,Namibia
140,140,140,New Caledonia,NCL,,New Caledonia,New Caledonia
141,141,141,Niger,NER,2.7505666921591603,Niger,Niger
142,142,142,Nigeria,NGA,0.28605851276724714,Nigeria,Nigeria
143,143,143,Nicaragua,NIC,2.9588477799330697,Nicaragua,Nicaragua
144,144,144,Netherlands,NLD,21.55003200664355,Netherlands,Netherlands
145,145,145,Norway,NOR,2.0600455486224143,Norway,Norway
146,146,146,Nepal,NPL,0.07348560328761494,Nepal,Nepal
147,147,147,Nauru,NRU,0.0,Nauru,Nauru
148,148,148,New Zealand,NZL,-0.04254691544611442,New Zealand,New Zealand
149,149,149,Oman,OMN,-1.2182573923301236,Oman,Oman
150,150,150,Pakistan,PAK,0.17118001836572014,Pakistan,Pakistan
151,151,151,Panama,PAN,5.818059489668522,Panama,Panama
152,152,152,Peru,PER,2.103353944757373,Peru,Peru
153,153,153,Philippines,PHL,0.7573256073330318,Philippines,Philippines
154,154,154,Palau,PLW,10.7310319559476,Palau,Palau
155,155,155,Papua New Guinea,PNG,0.6308097641168849,Papua New Guinea,Papua New Guinea
156,156,156,Poland,POL,1.4921959289923177,Poland,Poland
157,157,157,Puerto Rico,PRI,,Puerto Rico,Puerto Rico
158,158,158,"Korea, Dem. People’s Rep.",PRK,,"Korea, Dem. People’s Rep.","Korea, Dem. People’s Rep."
159,159,159,Portugal,PRT,0.8193916526565789,Portugal,Portugal
160,160,160,Paraguay,PRY,0.6101311154109305,Paraguay,Paraguay
161,161,161,West Bank and Gaza,PSE,0.4727821484679883,West Bank and Gaza,West Bank and Gaza
162,162,162,French Polynesia,PYF,,French Polynesia,French Polynesia
163,163,163,Qatar,QAT,0.3380688531580299,Qatar,Qatar
164,164,164,Romania,ROU,1.0073034629769106,Romania,Romania
165,165,165,Russian Federation,RUS,0.1922494695677741,Russian Federation,Russian Federation
166,166,166,Rwanda,RWA,1.039600850331073,Rwanda,Rwanda
167,167,167,Saudi Arabia,SAU,0.4776129857185134,Saudi Arabia,Saudi Arabia
168,168,168,Sudan,SDN,0.9788664938758374,Sudan,Sudan
169,169,169,Senegal,SEN,0.8773636939081532,Senegal,Senegal
170,170,170,Singapore,SGP,14.652905226723961,Singapore,Singapore
171,171,171,Solomon Islands,SLB,2.3965815746326906,Solomon Islands,Solomon Islands
172,172,172,Sierra Leone,SLE,2.492359991681893,Sierra Leone,Sierra Leone
173,173,173,El Salvador,SLV,1.0480858842352472,El Salvador,El Salvador
174,174,174,San Marino,SMR,,San Marino,San Marino
175,175,175,Somalia,SOM,,Somalia,Somalia
176,176,176,Serbia,SRB,2.3620827929267247,Serbia,Serbia
177,177,177,South Sudan,SSD,0.0006321397768141951,South Sudan,South Sudan
178,178,178,Sao Tome and Principe,STP,4.549506710691023,Sao Tome and Principe,Sao Tome and Principe
179,179,179,Suriname,SUR,2.129146675941173,Suriname,Suriname
180,180,180,Slovak Republic,SVK,0.9491587746346456,Slovak Republic,Slovak Republic
181,181,181,Slovenia,SVN,2.6632979631088096,Slovenia,Slovenia
182,182,182,Sweden,SWE,1.8551266929550445,Sweden,Sweden
183,183,183,Eswatini,SWZ,0.289044041083224,Eswatini,Eswatini
184,184,184,Sint Maarten (Dutch part),SXM,2.0467103660967787,Sint Maarten (Dutch part),Sint Maarten (Dutch part)
185,185,185,Seychelles,SYC,4.2825174226204625,Seychelles,Seychelles
186,186,186,Syrian Arab Republic,SYR,,Syrian Arab Republic,Syrian Arab Republic
187,187,187,Turks and Caicos Islands,TCA,,Turks and Caicos Islands,Turks and Caicos Islands
188,188,188,Chad,TCD,1.8141794018998965,Chad,Chad
189,189,189,Togo,TGO,2.252755030905555,Togo,Togo
190,190,190,Thailand,THA,0.800603474799345,Thailand,Thailand
191,191,191,Tajikistan,TJK,1.7728082612021523,Tajikistan,Tajikistan
192,192,192,Turkmenistan,TKM,3.424891833545154,Turkmenistan,Turkmenistan
193,193,193,Timor-Leste,TLS,0.43975868854876415,Timor-Leste,Timor-Leste
194,194,194,Tonga,TON,2.134480479875123,Tonga,Tonga
195,195,195,Trinidad and Tobago,TTO,0.3872961639757869,Trinidad and Tobago,Trinidad and Tobago
196,196,196,Tunisia,TUN,0.7509244595373925,Tunisia,Tunisia
197,197,197,Turkey,TUR,0.9257211206308592,Turkey,Turkey
198,198,198,Tuvalu,TUV,0.7489793064385717,Tuvalu,Tuvalu
199,199,199,Tanzania,TZA,1.1227271696468102,Tanzania,Tanzania
200,200,200,Uganda,UGA,1.0357746716722185,Uganda,Uganda
201,201,201,Ukraine,UKR,0.849733409682076,Ukraine,Ukraine
202,202,202,Uruguay,URY,3.3568796399393834,Uruguay,Uruguay
203,203,203,United States,USA,2.8094202027580155,United States,United States
204,204,204,Uzbekistan,UZB,0.034997368540339656,Uzbekistan,Uzbekistan
205,205,205,St. Vincent and the Grenadines,VCT,4.735780647041123,St. Vincent and the Grenadines,St. Vincent and the Grenadines
206,206,206,"Venezuela, RB",VEN,,"Venezuela, RB","Venezuela, RB"
207,207,207,British Virgin Islands,VGB,,British Virgin Islands,British Virgin Islands
208,208,208,Virgin Islands (U.S.),VIR,,Virgin Islands (U.S.),Virgin Islands (U.S.)
209,209,209,Vietnam,VNM,2.13191955458091,Vietnam,Vietnam
210,210,210,Vanuatu,VUT,3.9224757992200656,Vanuatu,Vanuatu
211,211,211,Samoa,WSM,2.34216127579132,Samoa,Samoa
212,212,212,Kosovo,XKX,1.9526653543295764,Kosovo,Kosovo
213,213,213,"Yemen, Rep.",YEM,-0.01760715295109744,"Yemen, Rep.","Yemen, Rep."
214,214,214,South Africa,ZAF,0.2087276839974446,South Africa,South Africa
215,215,215,Zambia,ZMB,2.5449641707713337,Zambia,Zambia
216,216,216,Zimbabwe,ZWE,1.0815706913575585,Zimbabwe,Zimbabwe
