,Unnamed: 0,refugees,country_code,country,refugees_resid
116,119,1395.0,NGA,Nigeria,-6482.099025697572
117,120,50389.0,NOR,Norway,35678.48972505228
118,121,245.0,OMN,Oman,-15354.800320841818
119,122,1561162.0,PAK,Pakistan,1552440.8547207841
120,123,17322.0,PAN,Panama,11940.569106182571
121,124,9510.0,PNG,Papua New Guinea,11.895057996214746
122,125,172.0,PRY,Paraguay,-4327.75815929768
123,126,1488.0,PER,Peru,-2987.4638812942576
124,127,269.0,PHL,Philippines,-6646.144118492124
125,128,14065.0,POL,Poland,7938.048782577154
126,129,853.0,PRT,Portugal,-6846.486385001981
127,130,120.0,QAT,Qatar,311.6489128771211
128,131,1463.0,KOR,"Korea, Rep.",-10025.88466535157
129,132,446.0,MDA,Moldova,-8230.559320098906
130,133,2598.0,ROU,Romania,-2717.3419037895646
131,134,314507.0,RUS,Russian Federation,308780.27562859375
132,135,144737.0,RWA,Rwanda,133243.54569475635
133,136,1.0,LCA,St. Lucia,-4469.893771345471
134,137,0.0,WSM,Samoa,-7981.400262936891
135,138,125.0,SAU,Saudi Arabia,-15771.927132300454
136,139,14392.0,SEN,Senegal,4054.279528362873
137,140,35332.0,SRB,Serbia,30923.853725805533
138,141,760.0,SLE,Sierra Leone,-11157.060831218323
139,142,0.0,SGP,Singapore,-8844.374306288188
140,144,820.0,SVK,Slovak Republic,-6871.02408132211
141,145,292.0,SVN,Slovenia,-8910.240036321777
142,146,3.0,SLB,Solomon Islands,-11080.260275832865
143,147,8081.0,SOM,Somalia,
144,148,121645.0,ZAF,South Africa,117205.82355946612
145,149,263016.0,SSD,South Sudan,251662.55166998433
146,150,6457.0,ESP,Spain,-4827.21814031865
147,151,784.0,LKA,Sri Lanka,-3723.798650733056
148,152,309639.0,SDN,Sudan,300560.260827861
149,153,1.0,SUR,Suriname,-4567.490510006165
150,154,696.0,SWZ,Eswatini,-5544.718505083484
151,155,169520.0,SWE,Sweden,153190.52291502545
152,156,73336.0,CHE,Switzerland,59125.745725090695
153,157,21113.0,SYR,Syrian Arab Republic,
154,158,1969.0,TJK,Tajikistan,-8637.289571783835
155,159,108261.0,THA,Thailand,103499.00281473593
156,160,701.0,MKD,"Macedonia, FYR",-3714.4502258058346
157,161,0.0,TLS,Timor-Leste,-6510.9455886758815
158,162,21953.0,TGO,Togo,10172.224573405878
159,163,113.0,TTO,Trinidad and Tobago,-10497.980043846956
160,164,665.0,TUN,Tunisia,-3856.263502883852
161,165,2541352.0,TUR,Turkey,2535609.545990549
162,166,26.0,TKM,Turkmenistan,-4653.1234945255965
163,167,4.0,TCA,Turks and Caicos Islands,
164,168,477187.0,UGA,Uganda,465624.771537162
165,169,3273.0,UKR,Ukraine,-3187.6771224783906
166,170,663.0,ARE,United Arab Emirates,-11842.4461295208
167,171,123067.0,GBR,United Kingdom,107784.36587689408
168,172,211845.0,TZA,Tanzania,201094.50227924372
169,173,273202.0,USA,United States,257500.70798013106
170,174,301.0,URY,Uruguay,-4957.072147365933
171,175,107.0,UZB,Uzbekistan,-7757.022245618934
172,176,0.0,VUT,Vanuatu,-10447.265269297835
173,177,173754.0,VEN,"Venezuela, RB",
174,178,0.0,VNM,Vietnam,-7985.496815258296
175,179,267173.0,YEM,"Yemen, Rep.",256966.3096161416
176,180,26447.0,ZMB,Zambia,16768.166175730752
177,181,6950.0,ZWE,Zimbabwe,-4086.568811923038
