,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,asylum_seekers,country_code,country_x,asylum_seekers_pct_pop,country_y,country
70,70,70,73,9.0,HND,Honduras,0.00010043713589445796,Honduras,Honduras
71,71,71,74,36693.0,HUN,Hungary,0.3727816277673903,Hungary,Hungary
72,72,72,75,161.0,ISL,Iceland,0.048667684355304316,Iceland,Iceland
73,73,73,76,6480.0,IND,India,0.0004950139642064264,India,India
74,74,74,77,7591.0,IDN,Indonesia,0.0029404004761922602,Indonesia,Indonesia
75,75,75,78,42.0,IRN,"Iran, Islamic Rep.",5.292306232949402e-05,"Iran, Islamic Rep.","Iran, Islamic Rep."
76,76,76,79,7420.0,IRQ,Iraq,0.020545110514281498,Iraq,Iraq
77,77,77,80,5055.0,IRL,Ireland,0.10750842681036854,Ireland,Ireland
78,78,78,81,11677.0,ISR,Israel,0.13934201262514767,Israel,Israel
79,79,79,82,60156.0,ITA,Italy,0.09905388359360692,Italy,Italy
80,80,80,83,5.0,JAM,Jamaica,0.00017409870839650216,Jamaica,Jamaica
81,81,81,84,13831.0,JPN,Japan,0.01087847350579278,Japan,Japan
82,82,82,85,24935.0,JOR,Jordan,0.27223690189492605,Jordan,Jordan
83,83,83,86,97.0,KAZ,Kazakhstan,0.0005529332080626098,Kazakhstan,Kazakhstan
84,84,84,87,39969.0,KEN,Kenya,0.08461508351031778,Kenya,Kenya
85,85,85,88,900.0,KWT,Kuwait,0.02286705046046617,Kuwait,Kuwait
86,86,86,89,158.0,KGZ,Kyrgyz Republic,0.0026523863083147275,Kyrgyz Republic,Kyrgyz Republic
87,87,87,90,179.0,LVA,Latvia,0.009051709534180823,Latvia,Latvia
88,88,88,91,12139.0,LBN,Lebanon,0.2074518254273834,Lebanon,Lebanon
89,89,89,92,4.0,LSO,Lesotho,0.0001839380680524868,Lesotho,Lesotho
90,90,90,93,15.0,LBR,Liberia,0.00033336140977206747,Liberia,Liberia
91,91,91,94,27479.0,LBY,Libya,0.4407249130105991,Libya,Libya
92,92,92,95,97.0,LIE,Liechtenstein,0.2593374862978905,Liechtenstein,Liechtenstein
93,93,93,96,82.0,LTU,Lithuania,0.0028228069027956115,Lithuania,Lithuania
94,94,94,97,2395.0,LUX,Luxembourg,0.4204675528963982,Luxembourg,Luxembourg
95,95,95,98,12.0,MDG,Madagascar,4.951702742021899e-05,Madagascar,Madagascar
96,96,96,99,14470.0,MWI,Malawi,0.08233938542042052,Malawi,Malawi
97,97,97,100,60415.0,MYS,Malaysia,0.1966432158416022,Malaysia,Malaysia
98,98,98,101,340.0,MLI,Mali,0.0019464268897729864,Mali,Mali
99,99,99,102,590.0,MLT,Malta,0.1325684806079276,Malta,Malta
100,100,100,103,497.0,MRT,Mauritania,0.01188329693824583,Mauritania,Mauritania
101,101,101,104,1350.0,MEX,Mexico,0.001072356679112809,Mexico,Mexico
102,102,102,105,11.0,FSM,"Micronesia, Fed. Sts.",0.010533069049055377,"Micronesia, Fed. Sts.","Micronesia, Fed. Sts."
103,103,103,106,0.0,MCO,Monaco,0.0,Monaco,Monaco
104,104,104,107,6.0,MNG,Mongolia,0.00020155350724937576,Mongolia,Mongolia
105,105,105,108,20.0,MNE,Montenegro,0.0032146123418611643,Montenegro,Montenegro
106,106,106,109,1565.0,MAR,Morocco,0.004496697183102235,Morocco,Morocco
107,107,107,110,14825.0,MOZ,Mozambique,0.05292622020642047,Mozambique,Mozambique
108,108,108,111,1.0,MMR,Myanmar,1.908263331714426e-06,Myanmar,Myanmar
109,109,109,112,1112.0,NAM,Namibia,0.04584506429646585,Namibia,Namibia
110,110,110,113,302.0,NRU,Nauru,2.4208416833667337,Nauru,Nauru
111,111,111,114,17.0,NPL,Nepal,5.9323815978639516e-05,Nepal,Nepal
112,112,112,115,28051.0,NLD,Netherlands,0.1655910714588254,Netherlands,Netherlands
113,113,113,116,159.0,NZL,New Zealand,0.003459755858737516,New Zealand,New Zealand
114,114,114,117,131.0,NIC,Nicaragua,0.002153884349563921,Nicaragua,Nicaragua
115,115,115,118,106.0,NER,Niger,0.0005327445668221257,Niger,Niger
116,116,116,119,386.0,NGA,Nigeria,0.0002130457470372953,Nigeria,Nigeria
117,117,117,120,25316.0,NOR,Norway,0.4877617389102891,Norway,Norway
118,118,118,121,190.0,OMN,Oman,0.004524014181593929,Oman,Oman
119,119,119,122,6442.0,PAK,Pakistan,0.003401617145265627,Pakistan,Pakistan
120,120,120,123,2934.0,PAN,Panama,0.07391826514285196,Panama,Panama
121,121,121,124,445.0,PNG,Papua New Guinea,0.005618811021708182,Papua New Guinea,Papua New Guinea
122,122,122,125,37.0,PRY,Paraguay,0.0005573028590088534,Paraguay,Paraguay
123,123,123,126,379.0,PER,Peru,0.0012079037957850914,Peru,Peru
124,124,124,127,210.0,PHL,Philippines,0.00020645646586700965,Philippines,Philippines
125,125,125,128,3303.0,POL,Poland,0.008695214488801943,Poland,Poland
126,126,126,129,580.0,PRT,Portugal,0.005599495504763626,Portugal,Portugal
127,127,127,130,118.0,QAT,Qatar,0.004755113661320656,Qatar,Qatar
128,128,128,131,5442.0,KOR,"Korea, Rep.",0.010667461832313577,"Korea, Rep.","Korea, Rep."
129,129,129,132,110.0,MDA,Moldova,0.0030950100559690363,Moldova,Moldova
