,Unnamed: 0,refugees,country_code,country_x,refugees_pct_pop,country_y
92,92,150.0,LIE,Liechtenstein,0.4010373499451916,Liechtenstein
93,93,1093.0,LTU,Lithuania,0.037625950545800035,Lithuania
94,94,1332.0,LUX,Luxembourg,0.2338466724250532,Luxembourg
95,95,10.0,MDG,Madagascar,4.126418951684916e-05,Madagascar
96,96,9019.0,MWI,Malawi,0.0513212796894798,Malawi
97,97,94166.0,MYS,Malaysia,0.3064984699650801,Malaysia
98,98,15917.0,MLI,Mali,0.09112140236622536,Mali
99,99,7075.0,MLT,Malta,1.5896983055950638,Malta
100,100,77394.0,MRT,Mauritania,1.8504947348865144,Mauritania
101,101,2923.0,MEX,Mexico,0.002321850794849437,Mexico
102,102,3.0,FSM,"Micronesia, Fed. Sts.",0.002872655195196921,"Micronesia, Fed. Sts."
103,103,32.0,MCO,Monaco,0.08353564622653822,Monaco
104,104,9.0,MNG,Mongolia,0.0003023302608740637,Mongolia
105,105,1771.0,MNE,Montenegro,0.2846539228718061,Montenegro
106,106,3908.0,MAR,Morocco,0.011228813157548579,Morocco
107,107,5622.0,MOZ,Mozambique,0.02007090792583446,Mozambique
108,108,0.0,MMR,Myanmar,0.0,Myanmar
109,109,1737.0,NAM,Namibia,0.0716122991753248,Namibia
110,110,506.0,NRU,Nauru,4.056112224448897,Nauru
111,111,32667.0,NPL,Nepal,0.11399594685730688,Nepal
112,112,88536.0,NLD,Netherlands,0.5226470037673725,Netherlands
113,113,1337.0,NZL,New Zealand,0.029092412472528667,New Zealand
114,114,330.0,NIC,Nicaragua,0.005425815537069418,Nicaragua
115,115,124721.0,NER,Niger,0.6268342935719091,Niger
116,116,1395.0,NGA,Nigeria,0.0007699451220648367,Nigeria
117,117,50389.0,NOR,Norway,0.970841612496072,Norway
118,118,245.0,OMN,Oman,0.005833597234160593,Oman
119,119,1561162.0,PAK,Pakistan,0.8243519754326571,Pakistan
120,120,17322.0,PAN,Panama,0.4364049723259992,Panama
121,121,9510.0,PNG,Papua New Guinea,0.12007841082347147,Papua New Guinea
122,122,172.0,PRY,Paraguay,0.002590705182419535,Paraguay
123,123,1488.0,PER,Peru,0.004742376907990016,Peru
124,124,269.0,PHL,Philippines,0.00026446090151536003,Philippines
125,125,14065.0,POL,Poland,0.03702639775507095,Poland
126,126,853.0,PRT,Portugal,0.008235120113040298,Portugal
127,127,120.0,QAT,Qatar,0.004835708808122701,Qatar
128,128,1463.0,KOR,"Korea, Rep.",0.0028677869644753327,"Korea, Rep."
129,129,446.0,MDA,Moldova,0.01254885895420173,Moldova
130,130,2598.0,ROU,Romania,0.01311096107129572,Romania
131,131,314507.0,RUS,Russian Federation,0.21826081302112946,Russian Federation
