,country_code,happiness,country,happiness_resid
114,KOR,5.7802114,"Korea, Rep.",-0.5708755838485322
115,SSD,4.0707712,South Sudan,-0.17003739814151242
116,ESP,6.3806634,Spain,0.04759941908046361
117,LKA,4.6116066,Sri Lanka,-0.5588216462290418
118,SWE,7.288922299999999,Sweden,0.5163939071552672
119,CHE,7.5721369,Switzerland,0.6081716871971459
120,SYR,3.4619129,Syrian Arab Republic,
121,TJK,5.1242108,Tajikistan,0.8014011814590543
122,TZA,3.6605972999999996,Tanzania,-0.646272511880142
123,THA,6.2017627,Thailand,0.7540740422418333
124,TGO,3.768302,Togo,-0.426218447006232
125,TUN,5.131611799999999,Tunisia,-0.011971043939796644
126,TUR,5.5144652999999995,Turkey,-0.293522326789426
127,TKM,5.79146,Turkmenistan,0.35707216098021455
128,UGA,4.237686599999999,Uganda,0.019546530500109682
129,UKR,3.9645428999999996,Ukraine,-0.8551048201122233
130,ARE,6.5683975000000006,United Arab Emirates,-0.41786024585825654
131,GBR,6.5154452,United Kingdom,-0.10239553444399796
132,USA,6.863946899999999,United States,-0.05284430153163111
133,URY,6.6280804,Uruguay,0.9946686934563083
134,UZB,5.9723644,Uzbekistan,1.3317070832431144
135,VEN,5.5688004,"Venezuela, RB",
136,VNM,5.0763154,Vietnam,0.45050477015765367
137,YEM,2.9826739,"Yemen, Rep.",-1.384610494606643
138,ZMB,4.8431644,Zambia,0.41635339802961546
139,ZWE,3.7031913,Zimbabwe,-0.5722216818543697
