,country_code,country,net_fdi_pct_gdp
158,PRK,"Korea, Dem. People’s Rep.",
159,PRT,Portugal,0.8193916526565789
160,PRY,Paraguay,0.6101311154109305
161,PSE,West Bank and Gaza,0.47278214846798833
162,PYF,French Polynesia,
163,QAT,Qatar,0.3380688531580299
164,ROU,Romania,1.0073034629769106
165,RUS,Russian Federation,0.1922494695677741
166,RWA,Rwanda,1.039600850331073
167,SAU,Saudi Arabia,0.47761298571851335
168,SDN,Sudan,0.9788664938758374
169,SEN,Senegal,0.8773636939081532
170,SGP,Singapore,14.652905226723961
171,SLB,Solomon Islands,2.3965815746326906
172,SLE,Sierra Leone,2.4923599916818935
173,SLV,El Salvador,1.0480858842352472
174,SMR,San Marino,
175,SOM,Somalia,
176,SRB,Serbia,2.3620827929267247
177,SSD,South Sudan,0.0006321397768141951
178,STP,Sao Tome and Principe,4.5495067106910225
179,SUR,Suriname,2.129146675941173
180,SVK,Slovak Republic,0.9491587746346455
181,SVN,Slovenia,2.6632979631088096
182,SWE,Sweden,1.8551266929550443
183,SWZ,Eswatini,0.289044041083224
184,SXM,Sint Maarten (Dutch part),2.0467103660967787
185,SYC,Seychelles,4.2825174226204625
186,SYR,Syrian Arab Republic,
187,TCA,Turks and Caicos Islands,
188,TCD,Chad,1.8141794018998965
189,TGO,Togo,2.252755030905555
190,THA,Thailand,0.800603474799345
191,TJK,Tajikistan,1.7728082612021523
192,TKM,Turkmenistan,3.424891833545154
193,TLS,Timor-Leste,0.43975868854876415
194,TON,Tonga,2.134480479875123
195,TTO,Trinidad and Tobago,0.3872961639757869
196,TUN,Tunisia,0.7509244595373925
197,TUR,Turkey,0.9257211206308592
198,TUV,Tuvalu,0.7489793064385717
199,TZA,Tanzania,1.1227271696468102
200,UGA,Uganda,1.0357746716722185
201,UKR,Ukraine,0.849733409682076
202,URY,Uruguay,3.356879639939383
203,USA,United States,2.809420202758015
204,UZB,Uzbekistan,0.034997368540339656
205,VCT,St. Vincent and the Grenadines,4.735780647041123
206,VEN,"Venezuela, RB",
207,VGB,British Virgin Islands,
208,VIR,Virgin Islands (U.S.),
209,VNM,Vietnam,2.13191955458091
210,VUT,Vanuatu,3.9224757992200656
211,WSM,Samoa,2.34216127579132
212,XKX,Kosovo,1.9526653543295764
213,YEM,"Yemen, Rep.",-0.01760715295109744
214,ZAF,South Africa,0.2087276839974446
215,ZMB,Zambia,2.5449641707713337
216,ZWE,Zimbabwe,1.0815706913575585
