Country Rank,Country/Territory,country_code,Region,ti_cpi,Number of Surveys Used,Std Error,Min,Max,90% Lower CI,90%Upper CI,World Bank CPIA,World  Economic Forum EOS,Bertelsmann  Foundation TI,Arican Development Bank,IMD World Competitiveness Year Book,Bertelsmann Foundation SGI,World Justice Project ROL,PRS Internationl Country Risk Guide,Economist Intelligence Unit,IHS Global Insight,PERC Asia Risk Guide,Freedom House NIT
50,Croatia,HRV,Err:507,51,9,2.02,41,62,48,54,,46,62,,41,57,50,50,54,52,,50
50,Hungary,HUN,Err:507,51,9,3.73,34,71,45,57,,47,53,,34,41,44,50,71,63,,52
50,Slovakia,SVK,Err:507,51,8,3.63,35,63,45,57,,38,62,,35,57,,50,54,63,,52
54,Malaysia,MYS,Err:507,50,8,3.00,40,64,45,55,,64,49,,53,,40,41,54,42,56,
55,Kuwait,KWT,Err:507,49,5,4.51,38,63,42,56,,52,40,,,,,50,38,63,,
56,Cuba,CUB,Err:507,47,4,3.64,40,54,41,53,,,40,,,,,41,54,52,,
56,Ghana,GHA,Err:507,47,8,2.82,33,55,42,52,47,33,45,55,,,37,50,54,52,,
58,Greece,GRC,Err:507,46,7,5.08,21,63,38,54,,45,,,43,57,50,41,21,63,,
58,Romania,ROM,Err:507,46,9,3.11,36,62,41,51,,36,62,,37,57,45,41,38,42,,52
60,Oman,OMN,Err:507,45,5,6.69,23,62,34,56,,62,23,,,,,50,38,52,,
61,Italy,ITA,Err:507,44,7,2.50,35,54,40,48,,47,,,35,49,54,41,38,42,,
61,Lesotho,LSO,Err:507,44,5,4.99,35,63,36,52,35,38,40,42,,,,,,63,,
61,Montenegro,MON,Err:507,44,4,4.87,32,53,36,52,,50,53,,,,,,,32,,39
61,Senegal,SEN,Err:507,44,8,2.61,32,54,40,48,47,43,53,45,,,38,41,54,32,,
61,South Africa,ZAF,Err:507,44,7,2.61,34,54,40,48,,52,45,,34,,41,41,54,42,,
66,Sao Tome and Principe,STP,Err:507,42,3,5.00,32,47,34,50,47,,,47,,,,,,32,,
66,The FYR of Macedonia,MKD,Err:507,42,6,5.27,21,61,33,51,,61,40,,,,41,,21,42,,47
66,Turkey,TUR,Err:507,42,8,2.02,33,53,39,45,,53,45,,42,41,33,41,38,42,,
